name	x	y	z	size
ip01	-14.662	4.379	-41.356	n/a
ip02	-18.238	5.348	-40.96	n/a
ip03	-21.7	6.288	-40.546	n/a
ip04	-25.113	7.177	-40.111	n/a
ip05	-28.489	7.985	-39.72	n/a
ip06	-31.878	8.784	-39.572	n/a
ip07	-35.309	9.678	-39.628	n/a
ip08	-38.763	10.65	-39.609	n/a
ip09	-42.198	11.653	-39.438	n/a
ip10	-45.631	12.723	-39.245	n/a
ip11	-49.022	13.802	-38.947	n/a
bp01	-18.726	-15.776	-23.367	n/a
bp02	-22.234	-15.014	-23.21	n/a
bp03	-25.748	-14.274	-23.142	n/a
bp04	-29.289	-13.555	-23.167	n/a
bp05	-32.852	-12.819	-23.302	n/a
bp06	-36.361	-12.072	-23.459	n/a
bp07	-39.928	-11.173	-23.425	n/a
bp08	-43.503	-10.285	-23.347	n/a
bp09	-47.081	-9.404	-23.216	n/a
bp10	-50.666	-8.588	-23.146	n/a
bp11	-54.234	-7.877	-23.15	n/a
bp12	-57.769	-7.263	-23.153	n/a
bp13	-61.324	-6.729	-23.204	n/a
bp14	-64.951	-6.19	-23.271	n/a
etp01	-23.685	-9.743	-33.0	n/a
etp02	-27.314	-9.299	-33.473	n/a
etp03	-30.94	-8.901	-34.098	n/a
etp04	-34.552	-8.523	-34.852	n/a
etp05	-38.229	-8.029	-35.474	n/a
etp06	-41.965	-7.407	-35.937	n/a
etp07	-45.729	-6.787	-36.343	n/a
etp08	-49.505	-6.211	-36.683	n/a
etp09	-53.254	-5.71	-36.919	n/a
etp10	-56.98	-5.303	-37.091	n/a
tp01	-35.622	4.313	-23.178	n/a
tp02	-38.849	5.306	-22.583	n/a
tp03	-42.049	6.352	-21.894	n/a
tp04	-45.275	7.411	-21.219	n/a
tp05	-48.547	8.497	-20.562	n/a
tp06	-51.869	9.609	-19.925	n/a
tp07	-55.258	10.792	-19.244	n/a
qp01	-30.541	14.493	12.556	n/a
qp02	-34.127	14.976	13.297	n/a
qp03	-37.727	15.58	14.348	n/a
qp04	-41.31	16.253	15.389	n/a
qp05	-44.85	16.923	16.553	n/a
qp06	-48.348	17.531	17.791	n/a
qp07	-51.808	18.014	18.981	n/a
qp08	-55.324	18.371	20.096	n/a
qp09	-59.1	18.713	21.189	n/a
o01	5.823	49.989	-26.106	n/a
o02	9.116	49.849	-24.429	n/a
o03	12.468	49.771	-22.83	n/a
o04	15.938	49.806	-21.519	n/a
o05	19.308	49.798	-20.041	n/a
o06	22.621	49.766	-18.461	n/a
o07	25.955	49.7	-16.922	n/a
o08	29.342	49.599	-15.522	n/a
o09	32.742	49.46	-13.943	n/a
o10	36.135	49.282	-12.244	n/a
o11	39.569	49.144	-10.677	n/a
o12	43.029	49.066	-9.143	n/a
o13	46.489	49.011	-7.458	n/a
cp01	-24.847	-24.906	-13.628	n/a
cp02	-28.163	-24.239	-15.128	n/a
cp03	-31.463	-23.565	-16.669	n/a
cp04	-34.819	-22.915	-18.24	n/a
cp05	-38.163	-22.272	-19.685	n/a
cp06	-41.504	-21.649	-21.059	n/a
cp07	-44.821	-21.089	-22.567	n/a
cp08	-48.289	-20.483	-23.948	n/a
cp09	-51.907	-19.916	-25.363	n/a
cp10	-55.485	-19.523	-26.914	n/a
cp11	-59.037	-19.256	-28.478	n/a
cp12	-62.554	-19.041	-30.012	n/a
fp02	-26.768	-46.254	-18.098	n/a
fp03	-30.43	-45.53	-18.48	n/a
fp04	-34.025	-44.826	-18.825	n/a
fp05	-37.592	-44.131	-18.954	n/a
fp06	-41.136	-43.489	-18.932	n/a
fp07	-44.674	-42.915	-18.845	n/a
fp08	-48.227	-42.41	-18.822	n/a
fp09	-51.777	-42.017	-19.067	n/a
fp10	-55.423	-41.658	-19.444	n/a
fp11	-59.205	-41.279	-19.8	n/a
fp12	-63.062	-40.887	-20.181	n/a
fp13	-67.029	-40.511	-20.665	n/a
xp01	-32.91	12.099	-13.972	n/a
xp02	-32.067	15.014	-12.254	n/a
xp03	-31.245	18.006	-10.622	n/a
xp04	-30.382	20.998	-8.972	n/a
xp05	-29.482	23.944	-7.225	n/a
xp06	-28.584	26.836	-5.331	n/a
xp07	-27.715	29.713	-3.293	n/a
xp08	-26.841	32.597	-1.114	n/a
xp09	-26.025	35.443	1.22	n/a
xp10	-25.306	38.239	3.669	n/a
xp11	-24.607	41.017	6.154	n/a
xp12	-23.862	43.815	8.662	n/a
xp13	-22.973	46.575	11.183	n/a
xp14	-21.865	49.239	13.66	n/a
xp15	-20.716	51.873	16.118	n/a
b01	27.412	-17.866	-18.453	n/a
b02	31.24	-17.659	-18.25	n/a
b03	35.117	-17.407	-18.033	n/a
b04	38.98	-17.211	-17.791	n/a
b05	42.741	-17.122	-17.565	n/a
b06	46.546	-17.052	-17.367	n/a
b07	50.382	-17.064	-17.348	n/a
b08	54.215	-17.176	-17.569	n/a
b09	58.038	-17.278	-17.742	n/a
b10	61.834	-17.355	-17.788	n/a
b11	65.626	-17.437	-17.778	n/a
op01	-4.201	48.309	-24.027	n/a
op02	-7.245	48.677	-22.199	n/a
op03	-10.352	49.072	-20.469	n/a
op04	-13.53	49.515	-18.972	n/a
op05	-16.81	49.972	-17.56	n/a
op06	-20.006	50.355	-15.965	n/a
op07	-23.113	50.65	-14.18	n/a
op08	-26.214	50.881	-12.431	n/a
op09	-29.374	51.039	-10.968	n/a
op10	-32.521	51.137	-9.495	n/a
op11	-35.603	51.218	-7.808	n/a
op12	-38.76	51.456	-6.025	n/a
op13	-42.008	51.862	-4.201	n/a
op14	-45.252	52.312	-2.324	n/a
ep01	-25.81	-15.322	-33.629	n/a
ep02	-29.468	-14.773	-33.679	n/a
ep03	-33.102	-14.259	-33.788	n/a
ep04	-36.695	-13.714	-33.882	n/a
ep05	-40.306	-13.065	-33.805	n/a
ep06	-43.946	-12.369	-33.594	n/a
ep07	-47.565	-11.746	-33.308	n/a
ep08	-51.251	-11.164	-33.021	n/a
ep09	-54.986	-10.691	-32.865	n/a
ep10	-58.696	-10.335	-32.769	n/a
ep11	-62.395	-10.035	-32.648	n/a
dp01	-48.02	-26.491	-16.069	n/a
dp02	-51.842	-26.017	-16.191	n/a
dp03	-55.587	-25.565	-16.28	n/a
dp04	-59.242	-25.097	-16.264	n/a
dp05	-62.865	-24.611	-16.205	n/a
dp06	-66.551	-24.115	-16.157	n/a
dp07	-70.302	-23.604	-16.118	n/a
up01	-33.245	-28.74	6.074	n/a
up02	-36.969	-27.545	5.802	n/a
up03	-40.774	-26.465	5.521	n/a
up04	-44.535	-25.389	5.156	n/a
up05	-48.199	-24.321	4.581	n/a
up06	-51.81	-23.277	3.895	n/a
up07	-55.382	-22.207	3.33	n/a
up08	-58.898	-21.09	2.938	n/a
up09	-62.335	-19.927	2.67	n/a
up10	-65.744	-18.725	2.399	n/a
x01	41.215	2.218	-1.444	n/a
x02	40.293	5.262	-0.051	n/a
x03	39.406	8.349	1.193	n/a
x04	38.577	11.47	2.348	n/a
x05	37.806	14.596	3.529	n/a
x06	37.088	17.685	4.819	n/a
x07	36.367	20.719	6.292	n/a
x08	35.582	23.686	7.994	n/a
x09	34.746	26.637	9.972	n/a
x10	33.89	29.631	12.112	n/a
x11	33.089	32.643	14.292	n/a
x12	32.342	35.648	16.451	n/a
x13	31.524	38.599	18.548	n/a
x14	30.592	41.531	20.666	n/a
x15	29.655	44.475	22.853	n/a
vp01	-3.148	-45.053	27.268	n/a
vp02	-6.699	-44.48	27.745	n/a
vp03	-10.156	-43.843	28.107	n/a
vp04	-13.611	-43.146	28.259	n/a
vp05	-17.161	-42.429	28.181	n/a
vp06	-20.77	-41.758	28.049	n/a
vp07	-24.44	-41.18	28.124	n/a
vp09	-32.086	-40.121	28.746	n/a
vp10	-35.982	-39.593	29.089	n/a
vp11	-39.876	-39.045	29.376	n/a
vp12	-43.747	-38.482	29.573	n/a
vp13	-47.531	-37.939	29.834	n/a
vp14	-51.252	-37.435	30.151	n/a
vp15	-54.992	-36.974	30.498	n/a
