name	x	y	z	size
o01	2.718	37.838	-21.82	n/a
o02	6.48	38.293	-21.051	n/a
o03	10.175	38.761	-20.169	n/a
o04	13.876	39.201	-19.433	n/a
o05	17.513	39.584	-18.748	n/a
o06	21.107	39.937	-17.967	n/a
o07	24.699	40.301	-17.214	n/a
o08	28.267	40.692	-16.405	n/a
o09	31.767	41.116	-15.384	n/a
o10	35.165	41.576	-14.018	n/a
o11	38.546	42.013	-12.638	n/a
o12	41.928	42.399	-11.49	n/a
o13	45.276	42.75	-10.535	n/a
o14	48.583	43.055	-9.622	n/a
o15	51.943	43.384	-8.754	n/a
g01	4.782	39.035	5.267	n/a
g02	8.413	39.313	5.79	n/a
g03	12.032	39.559	6.354	n/a
g04	15.692	39.716	6.912	n/a
g05	19.34	39.871	7.508	n/a
g06	22.872	40.064	8.176	n/a
g07	26.305	40.269	8.905	n/a
g08	29.673	40.456	9.673	n/a
g09	33.035	40.62	10.447	n/a
g10	36.494	40.786	11.182	n/a
g11	40.034	40.916	11.798	n/a
g12	43.656	40.962	12.224	n/a
g13	47.339	40.972	12.513	n/a
g14	51.088	41.008	12.746	n/a
m01	4.706	-16.381	58.961	n/a
m02	8.304	-16.158	60.034	n/a
m03	11.939	-15.895	61.183	n/a
m04	15.528	-15.565	62.495	n/a
m05	19.048	-15.304	63.828	n/a
m06	22.476	-15.311	64.835	n/a
m07	25.855	-15.413	65.624	n/a
m08	29.224	-15.36	66.373	n/a
m09	32.617	-15.112	67.263	n/a
m10	36.042	-14.769	68.417	n/a
i01	24.75	6.36	-38.301	n/a
i02	28.393	6.748	-37.274	n/a
i03	32.096	7.064	-36.646	n/a
i04	35.877	7.34	-36.484	n/a
i05	39.623	7.634	-36.474	n/a
i06	43.297	7.985	-36.277	n/a
i07	46.868	8.354	-35.873	n/a
i08	50.378	8.683	-35.458	n/a
t01	39.647	-3.506	-19.515	n/a
t02	43.054	-3.097	-17.936	n/a
t03	46.247	-2.628	-16.193	n/a
t04	49.185	-2.107	-14.34	n/a
t05	52.007	-1.545	-12.447	n/a
t06	54.855	-1.0	-10.613	n/a
t07	57.906	-0.531	-9.015	n/a
u01	31.729	-25.436	2.712	n/a
u02	35.455	-25.059	3.195	n/a
u03	39.11	-24.863	3.623	n/a
u04	42.662	-24.599	4.082	n/a
u05	46.119	-24.224	4.571	n/a
u06	49.537	-23.845	4.963	n/a
u07	52.954	-23.511	5.255	n/a
u08	56.405	-23.243	5.489	n/a
u09	59.896	-23.026	5.745	n/a
u10	63.381	-22.834	6.137	n/a
r01	31.704	5.685	8.561	n/a
r02	35.353	5.784	9.41	n/a
r03	38.834	5.892	10.285	n/a
r04	42.246	5.997	11.092	n/a
r05	45.686	6.118	11.839	n/a
r06	49.196	6.188	12.478	n/a
r07	52.762	6.308	13.027	n/a
r08	56.255	6.574	13.519	n/a
r09	59.645	6.897	13.915	n/a
r10	62.985	7.119	14.228	n/a
s01	34.005	-20.192	13.806	n/a
s02	37.392	-19.712	14.97	n/a
s03	40.781	-19.241	16.07	n/a
s04	44.202	-18.796	17.07	n/a
s05	47.624	-18.398	17.898	n/a
s06	51.041	-18.036	18.601	n/a
s07	54.443	-17.715	19.242	n/a
s08	57.827	-17.451	19.927	n/a
s09	61.169	-17.235	20.695	n/a
s10	64.467	-17.021	21.574	n/a
x01	34.366	13.941	-12.759	n/a
x02	33.501	15.025	-9.064	n/a
x03	32.613	16.14	-5.367	n/a
x04	31.706	17.261	-1.67	n/a
x05	30.813	18.385	2.003	n/a
x06	29.827	19.459	5.621	n/a
x07	28.646	20.483	9.21	n/a
x08	27.243	21.471	12.832	n/a
x09	25.881	22.422	16.476	n/a
x11	23.564	24.264	23.77	n/a
x12	22.506	25.107	27.395	n/a
x13	21.481	25.901	31.008	n/a
x14	20.587	26.739	34.672	n/a
x15	19.715	27.599	38.327	n/a
z01	37.664	2.066	-11.896	n/a
z02	37.333	0.216	-8.598	n/a
z03	36.985	-1.618	-5.359	n/a
z04	36.703	-3.448	-2.152	n/a
z05	36.486	-5.285	1.05	n/a
z06	36.274	-7.125	4.254	n/a
z07	35.935	-8.951	7.48	n/a
z08	35.448	-10.726	10.742	n/a
z09	34.833	-12.437	14.039	n/a
z10	34.136	-14.116	17.339	n/a
z11	33.629	-15.813	20.608	n/a
z12	33.474	-17.597	23.761	n/a
z13	33.473	-19.407	26.912	n/a
z14	33.55	-21.241	30.124	n/a
z15	33.687	-23.138	33.336	n/a
z16	33.885	-25.14	36.495	n/a
z17	34.078	-27.194	39.583	n/a
z18	34.087	-29.143	42.649	n/a
b01	22.028	-13.003	-21.515	n/a
b02	25.918	-12.758	-21.671	n/a
b03	29.846	-12.479	-21.858	n/a
b04	33.799	-12.11	-22.035	n/a
b05	37.74	-11.676	-22.187	n/a
b06	41.509	-11.327	-22.406	n/a
b07	45.17	-11.14	-22.789	n/a
b08	48.697	-11.133	-23.303	n/a
b09	52.151	-11.19	-23.797	n/a
b10	55.561	-11.203	-24.148	n/a
b11	58.945	-11.162	-24.358	n/a
b12	62.324	-11.132	-24.549	n/a
n01	3.376	-30.05	59.063	n/a
n02	7.11	-29.429	59.022	n/a
n03	10.787	-28.769	59.032	n/a
n04	14.36	-28.014	59.068	n/a
n05	17.83	-27.218	58.995	n/a
n06	21.351	-26.64	58.909	n/a
n07	24.869	-26.16	58.717	n/a
n08	28.336	-25.454	58.506	n/a
n09	31.78	-24.524	58.291	n/a
n10	35.227	-23.546	58.096	n/a
n11	38.716	-22.705	57.947	n/a
n12	42.193	-21.939	57.817	n/a
n13	45.621	-21.137	57.71	n/a
n14	49.028	-20.253	57.823	n/a
n15	52.526	-19.411	58.086	n/a
y01	35.51	3.681	-11.586	n/a
y02	35.002	3.027	-7.827	n/a
y03	34.483	2.38	-4.099	n/a
y04	34.007	1.72	-0.388	n/a
y05	33.561	1.041	3.325	n/a
y06	33.122	0.354	7.033	n/a
y07	32.588	-0.328	10.717	n/a
y08	31.794	-0.995	14.422	n/a
y09	31.036	-1.621	18.157	n/a
y10	30.509	-2.241	21.875	n/a
y11	30.154	-2.884	25.586	n/a
y12	29.875	-3.567	29.3	n/a
y13	29.573	-4.268	33.049	n/a
y14	29.226	-4.95	36.873	n/a
y15	28.888	-5.596	40.807	n/a
v01	7.662	-47.678	30.638	n/a
v02	11.477	-47.615	30.358	n/a
v03	15.316	-47.628	30.022	n/a
v04	19.135	-47.696	29.668	n/a
v05	22.901	-47.744	29.259	n/a
v06	26.666	-47.749	28.757	n/a
v07	30.448	-47.715	28.207	n/a
v08	34.216	-47.636	27.69	n/a
v09	37.879	-47.452	27.261	n/a
v10	41.308	-47.099	26.951	n/a
v11	44.655	-46.718	26.698	n/a
v12	48.055	-46.446	26.408	n/a
v13	51.447	-46.275	26.139	n/a
v14	54.817	-46.185	25.903	n/a
v15	58.166	-46.141	25.695	n/a
c01	26.193	-35.156	-4.702	n/a
c02	29.865	-34.948	-5.138	n/a
c03	33.509	-34.687	-5.62	n/a
c04	37.157	-34.465	-6.166	n/a
c05	40.665	-34.355	-6.873	n/a
c06	44.091	-34.292	-7.66	n/a
c07	47.552	-34.207	-8.297	n/a
c08	51.062	-34.087	-8.74	n/a
c09	54.572	-33.934	-9.072	n/a
c10	58.068	-33.755	-9.295	n/a
