name	x	y	z	size
hp01	-2.17	4.426	32.205	n/a
hp02	-5.469	3.551	32.679	n/a
hp03	-8.593	2.755	33.389	n/a
hp12	-39.035	-4.095	41.675	n/a
hp13	-42.541	-4.633	42.623	n/a
hp14	-46.049	-5.162	43.648	n/a
hp15	-49.557	-5.713	44.667	n/a
hp16	-53.065	-6.284	45.686	n/a
op01	-3.542	39.807	-16.431	n/a
op02	-7.489	39.925	-15.986	n/a
op03	-11.391	40.001	-15.556	n/a
op05	-18.745	40.028	-14.734	n/a
op06	-22.147	39.94	-14.16	n/a
op07	-25.534	39.815	-13.548	n/a
op10	-35.738	39.369	-11.902	n/a
op11	-39.189	39.289	-11.23	n/a
op12	-42.671	39.215	-10.368	n/a
op13	-46.264	39.191	-9.487	n/a
op14	-49.922	39.226	-8.689	n/a
gp01	-2.498	33.817	11.671	n/a
gp02	-5.91	34.164	12.014	n/a
gp03	-9.203	34.546	12.451	n/a
gp11	-37.615	37.368	16.982	n/a
gp12	-41.307	37.82	17.527	n/a
gp13	-45.027	38.252	17.966	n/a
gp14	-48.758	38.706	18.389	n/a
qp01	-34.46	14.398	11.371	n/a
qp02	-38.031	15.078	12.937	n/a
qp03	-41.488	15.791	14.361	n/a
qp05	-48.251	17.419	17.218	n/a
qp06	-51.626	18.251	18.647	n/a
qp07	-54.997	19.091	20.114	n/a
rp01	-31.746	-0.64	14.855	n/a
rp02	-35.394	-0.592	15.882	n/a
rp03	-38.972	-0.541	17.113	n/a
rp06	-49.594	0.062	21.669	n/a
rp07	-53.022	0.464	23.269	n/a
rp08	-56.438	0.783	24.878	n/a
rp09	-59.928	0.975	26.523	n/a
sp01	-36.915	-24.292	20.747	n/a
sp02	-40.546	-24.509	22.102	n/a
sp03	-44.134	-24.719	23.426	n/a
sp04	-47.664	-24.926	24.897	n/a
sp05	-51.098	-25.187	26.572	n/a
sp07	-57.772	-25.863	29.926	n/a
sp08	-61.018	-26.201	31.622	n/a
sp09	-64.218	-26.547	33.304	n/a
cp01	-26.665	-33.458	-11.031	n/a
cp02	-30.054	-33.282	-10.55	n/a
cp03	-33.429	-33.144	-10.119	n/a
cp11	-63.762	-33.811	-8.169	n/a
cp12	-67.311	-33.813	-7.871	n/a
cp13	-70.74	-33.823	-7.618	n/a
yp01	-37.348	-5.368	-4.203	n/a
yp02	-36.634	-6.626	-1.062	n/a
yp03	-35.905	-7.862	2.06	n/a
yp04	-35.167	-9.098	5.19	n/a
yp05	-34.456	-10.366	8.359	n/a
yp06	-33.765	-11.662	11.58	n/a
yp07	-33.112	-12.955	14.841	n/a
yp08	-32.54	-14.221	18.12	n/a
yp09	-31.89	-15.46	21.424	n/a
yp14	-28.542	-21.737	38.493	n/a
yp15	-27.845	-22.957	42.088	n/a
ip01	-1.004	-25.869	34.236	n/a
ip02	-4.416	-25.702	34.809	n/a
ip03	-7.563	-25.554	35.421	n/a
ip04	-10.636	-25.407	35.935	n/a
ip05	-13.716	-25.258	36.511	n/a
ip11	-34.741	-23.958	41.078	n/a
ip12	-38.386	-23.709	41.81	n/a
ip15	-49.04	-22.925	44.124	n/a
ip16	-52.51	-22.655	45.033	n/a
ip17	-55.986	-22.397	45.978	n/a
xp01	-39.97	10.528	-5.872	n/a
xp02	-38.415	12.177	-2.57	n/a
xp03	-36.993	13.855	0.757	n/a
xp04	-35.649	15.533	4.055	n/a
xp05	-34.372	17.173	7.307	n/a
xp06	-33.192	18.72	10.47	n/a
xp08	-30.917	21.507	16.118	n/a
xp09	-29.62	22.774	18.762	n/a
xp13	-24.101	27.875	30.408	n/a
xp14	-22.707	29.091	33.439	n/a
xp15	-21.295	30.308	36.467	n/a
tp01	-47.244	-0.454	-10.449	n/a
tp02	-50.03	1.573	-9.901	n/a
tp03	-52.769	3.653	-9.281	n/a
tp04	-55.445	5.884	-8.442	n/a
up01	-37.7	-25.182	3.194	n/a
up02	-41.392	-24.446	3.251	n/a
up03	-45.135	-23.849	3.224	n/a
up05	-52.653	-22.757	3.353	n/a
up06	-56.315	-22.108	3.718	n/a
up08	-63.345	-20.503	5.073	n/a
up09	-66.734	-19.668	5.819	n/a
ap01	-16.542	-2.5	-24.512	n/a
ap02	-19.86	-2.649	-23.792	n/a
ap03	-23.175	-2.845	-23.153	n/a
ap04	-26.522	-3.068	-22.578	n/a
ap05	-29.93	-3.269	-22.065	n/a
ap06	-33.491	-3.441	-21.657	n/a
ap10	-48.213	-4.296	-20.989	n/a
ap11	-51.995	-4.388	-20.83	n/a
ap12	-55.716	-4.433	-20.548	n/a
ap13	-59.374	-4.411	-20.052	n/a
bp01	-19.956	-17.131	-20.584	n/a
bp02	-23.515	-16.893	-20.38	n/a
bp03	-27.066	-16.729	-20.318	n/a
bp04	-30.59	-16.615	-20.314	n/a
bp11	-56.689	-15.651	-21.449	n/a
bp12	-60.536	-15.484	-21.627	n/a
bp13	-64.296	-15.319	-21.644	n/a
ep01	-23.591	-26.651	-20.972	n/a
ep02	-27.117	-26.514	-20.91	n/a
ep03	-30.676	-26.394	-20.86	n/a
ep04	-34.26	-26.225	-20.755	n/a
ep05	-37.91	-26.029	-20.611	n/a
ep06	-41.609	-25.821	-20.458	n/a
ep07	-45.376	-25.599	-20.31	n/a
ep11	-60.525	-25.152	-21.447	n/a
ep12	-64.294	-25.035	-21.659	n/a
