name	x	y	z	size
t01	43.049	-8.074	-13.438	n/a
t02	46.635	-8.061	-11.856	n/a
t03	50.174	-8.03	-10.272	n/a
t04	53.652	-7.98	-8.687	n/a
t06	60.635	-7.92	-5.777	n/a
t07	64.147	-7.886	-4.354	n/a
u01	33.769	-23.514	7.116	n/a
u02	37.472	-23.482	6.806	n/a
u05	48.539	-23.935	5.512	n/a
u06	52.244	-24.182	5.093	n/a
u08	59.645	-24.604	4.17	n/a
u09	63.406	-24.729	3.724	n/a
i01	23.02	-7.565	-34.801	n/a
i02	26.682	-7.292	-34.287	n/a
i03	30.367	-7.098	-33.767	n/a
i08	48.921	-5.957	-31.455	n/a
i09	52.594	-5.675	-30.988	n/a
i10	56.286	-5.325	-30.424	n/a
c01	29.458	-24.826	-13.197	n/a
c02	33.166	-25.188	-12.992	n/a
c03	36.891	-25.619	-12.88	n/a
c09	59.362	-28.393	-13.127	n/a
c10	63.033	-28.718	-13.141	n/a
c11	66.685	-28.983	-13.163	n/a
f01	14.103	-55.347	-3.564	n/a
f02	17.814	-55.013	-4.353	n/a
f03	21.534	-54.694	-5.071	n/a
f04	25.247	-54.442	-5.765	n/a
f11	51.102	-53.792	-12.164	n/a
f12	54.761	-53.799	-13.269	n/a
f13	58.417	-53.788	-14.38	n/a
p01	2.796	-42.5	51.112	n/a
p02	6.421	-42.933	50.075	n/a
p03	10.116	-43.351	49.045	n/a
p09	32.461	-46.227	42.551	n/a
p10	36.244	-46.885	41.497	n/a
p12	43.766	-48.369	39.607	n/a
p13	47.508	-49.098	38.772	n/a
p14	51.219	-49.782	37.905	n/a
p15	54.887	-50.421	36.982	n/a
l01	11.46	-54.817	37.688	n/a
l02	12.132	-56.561	41.723	n/a
l04	13.852	-60.197	49.634	n/a
l05	14.898	-62.014	53.452	n/a
l06	15.941	-63.786	57.186	n/a
w01	2.915	-60.151	33.37	n/a
w02	6.748	-61.085	33.322	n/a
w03	10.629	-61.991	33.243	n/a
w06	22.437	-64.52	32.916	n/a
w07	26.361	-65.517	32.763	n/a
w09	33.951	-67.83	32.388	n/a
w10	37.66	-69.155	32.288	n/a
w11	41.343	-70.462	32.154	n/a
s01	3.384	-70.398	13.182	n/a
s02	7.221	-70.801	12.631	n/a
s03	11.057	-71.24	12.084	n/a
s10	37.482	-74.862	9.95	n/a
s11	41.26	-75.614	9.57	n/a
s12	45.007	-76.387	9.162	n/a
op01	-2.282	-70.428	3.593	n/a
op02	-5.793	-71.672	4.109	n/a
op03	-9.327	-72.905	4.481	n/a
op11	-37.764	-82.25	8.328	n/a
op12	-41.396	-83.637	8.855	n/a
o01	3.158	-68.674	5.55	n/a
o02	6.981	-69.139	5.03	n/a
o03	10.767	-69.65	4.583	n/a
o11	41.161	-74.295	3.405	n/a
o12	44.854	-75.088	3.139	n/a
o13	48.52	-75.888	2.839	n/a
tp01	-42.598	-0.524	-21.049	n/a
tp02	-45.795	-0.146	-18.831	n/a
tp03	-48.989	0.223	-16.7	n/a
tp04	-52.292	0.56	-14.755	n/a
up01	-35.751	-27.117	1.647	n/a
up02	-39.57	-27.695	1.88	n/a
up08	-62.016	-30.915	3.256	n/a
up09	-65.852	-31.504	3.285	n/a
cp01	-24.257	-29.791	-11.683	n/a
cp02	-27.961	-29.867	-11.88	n/a
cp03	-31.667	-29.946	-12.048	n/a
cp09	-54.418	-31.336	-15.285	n/a
cp10	-58.044	-31.506	-15.853	n/a
cp11	-61.646	-31.635	-16.432	n/a
fp01	-13.409	-56.443	-7.249	n/a
fp02	-17.23	-56.223	-7.471	n/a
fp03	-21.121	-56.038	-7.613	n/a
fp09	-44.335	-55.481	-8.414	n/a
fp10	-48.036	-55.465	-8.712	n/a
fp11	-51.723	-55.448	-9.008	n/a
fp12	-55.414	-55.426	-9.273	n/a
fp13	-59.122	-55.419	-9.512	n/a
ep01	-32.019	-37.512	-20.333	n/a
ep02	-35.76	-37.305	-19.545	n/a
ep06	-50.83	-36.853	-17.358	n/a
ep07	-54.598	-36.777	-16.95	n/a
ep08	-58.296	-36.649	-16.515	n/a
ep09	-61.962	-36.493	-16.114	n/a
vp01	-3.229	-48.785	24.65	n/a
vp02	-7.207	-48.457	24.489	n/a
vp11	-41.344	-47.874	25.113	n/a
vp12	-45.107	-47.797	25.432	n/a
vp15	-56.34	-47.542	25.881	n/a
vp16	-60.065	-47.531	25.841	n/a
wp01	-2.297	-69.263	33.058	n/a
wp02	-6.115	-68.817	33.14	n/a
wp03	-9.888	-68.44	33.162	n/a
wp07	-25.051	-66.327	33.692	n/a
wp08	-28.969	-65.91	34.057	n/a
wp12	-44.312	-65.058	35.879	n/a
wp13	-48.096	-64.773	36.301	n/a
sp01	-2.508	-69.072	14.177	n/a
sp02	-6.378	-69.332	13.934	n/a
sp03	-10.245	-69.597	13.593	n/a
sp12	-44.237	-72.037	12.92	n/a
sp13	-47.954	-72.42	12.846	n/a
v01	3.34	-39.495	30.487	n/a
v02	7.345	-39.495	30.096	n/a
v11	41.777	-41.321	28.285	n/a
v12	45.637	-41.683	28.283	n/a
v16	60.419	-42.219	27.745	n/a
v17	64.081	-42.226	27.369	n/a
