name	x	y	z	size
o01	1.719	41.756	-13.447	n/a
o02	5.715	41.379	-13.567	n/a
o03	9.628	41.007	-13.695	n/a
o06	20.463	39.784	-13.419	n/a
o07	24.052	39.347	-13.15	n/a
o08	27.597	38.932	-12.662	n/a
o11	38.23	37.701	-11.223	n/a
o12	41.878	37.374	-10.806	n/a
o13	45.573	37.064	-10.421	n/a
y01	28.226	27.831	-23.162	n/a
y02	28.668	30.35	-20.339	n/a
y03	29.119	32.91	-17.533	n/a
y04	29.528	35.446	-14.62	n/a
y06	30.238	40.638	-8.56	n/a
y07	30.615	43.203	-5.447	n/a
y08	31.073	45.816	-2.303	n/a
y09	31.581	48.388	0.794	n/a
y10	32.098	50.812	3.788	n/a
y11	32.615	53.215	6.769	n/a
g01	5.736	36.771	13.596	n/a
g02	9.402	36.36	13.17	n/a
g03	13.091	36.008	12.858	n/a
g09	34.692	33.961	11.917	n/a
g10	38.252	33.424	11.538	n/a
g11	41.969	32.998	11.297	n/a
g12	45.744	32.525	11.018	n/a
g13	49.581	32.034	10.749	n/a
k01	5.368	36.017	36.208	n/a
k02	9.081	35.371	36.555	n/a
k03	12.637	34.668	36.912	n/a
k06	22.953	32.211	38.004	n/a
k07	26.371	31.346	38.442	n/a
k08	29.822	30.508	38.922	n/a
k09	33.32	29.693	39.359	n/a
k10	36.847	28.892	39.723	n/a
k11	40.383	28.111	40.04	n/a
b01	23.776	-15.39	-18.577	n/a
b02	27.457	-15.924	-18.078	n/a
b03	31.142	-16.443	-17.666	n/a
b10	57.249	-20.851	-16.351	n/a
b11	60.943	-21.497	-15.875	n/a
b12	64.482	-22.15	-15.233	n/a
b13	67.947	-22.873	-14.559	n/a
c01	24.48	-31.815	-6.095	n/a
c02	27.78	-33.014	-7.007	n/a
c03	30.985	-34.21	-7.978	n/a
c11	55.871	-44.235	-15.587	n/a
c12	58.986	-45.578	-16.466	n/a
c13	62.178	-46.96	-17.293	n/a
f01	14.136	-52.331	0.96	n/a
f02	17.773	-52.865	0.533	n/a
f03	21.348	-53.369	0.121	n/a
f09	42.405	-56.098	-2.928	n/a
f10	45.773	-56.315	-3.302	n/a
f11	49.125	-56.486	-3.627	n/a
f13	56.007	-57.065	-4.255	n/a
f14	59.598	-57.501	-4.597	n/a
x01	8.618	28.248	-24.079	n/a
x02	9.695	30.587	-21.138	n/a
x03	10.767	32.984	-18.237	n/a
x13	19.824	56.464	13.324	n/a
x14	20.594	58.589	16.46	n/a
x15	21.393	60.711	19.567	n/a
x16	22.216	62.85	22.631	n/a
s01	3.139	51.233	-14.57	n/a
s02	6.84	50.728	-14.007	n/a
s03	10.605	50.264	-13.569	n/a
s06	21.149	48.231	-11.618	n/a
s07	24.607	47.503	-10.669	n/a
s08	28.074	46.822	-9.522	n/a
s09	31.543	46.172	-8.386	n/a
s12	42.181	44.096	-5.434	n/a
s13	45.885	43.45	-4.545	n/a
z01	37.936	9.886	-6.863	n/a
z02	36.714	12.761	-5.146	n/a
z03	35.509	15.679	-3.374	n/a
z04	34.262	18.627	-1.577	n/a
z05	32.962	21.592	0.242	n/a
z06	31.618	24.57	2.093	n/a
z12	23.961	41.777	12.766	n/a
z13	22.74	44.624	14.553	n/a
z16	19.258	53.232	20.248	n/a
z17	18.011	56.103	22.162	n/a
q01	30.368	15.563	8.918	n/a
q02	33.969	15.53	9.344	n/a
q03	37.578	15.526	9.909	n/a
q04	41.198	15.563	10.36	n/a
q05	44.807	15.635	10.743	n/a
q07	51.989	15.814	12.112	n/a
q08	55.699	15.872	12.915	n/a
d01	53.182	-45.002	2.293	n/a
d02	56.732	-45.151	1.016	n/a
d03	60.192	-45.376	-0.365	n/a
d04	63.571	-45.658	-1.84	n/a
e01	25.504	-29.007	-17.818	n/a
e02	29.146	-29.282	-17.699	n/a
e04	36.425	-29.876	-17.786	n/a
e05	40.029	-30.242	-17.973	n/a
e06	43.657	-30.62	-17.926	n/a
e08	51.128	-31.486	-17.662	n/a
e09	54.8	-31.943	-17.579	n/a
e10	58.33	-32.391	-17.401	n/a
u01	39.511	-24.684	1.858	n/a
u02	43.041	-25.178	2.614	n/a
u05	53.307	-26.53	5.8	n/a
u06	56.783	-27.14	6.819	n/a
u08	63.659	-28.324	8.703	n/a
u09	67.067	-28.805	9.815	n/a
t01	42.375	0.284	-21.981	n/a
t02	45.436	-0.028	-19.575	n/a
t04	51.55	-0.786	-14.907	n/a
t05	54.549	-1.213	-12.602	n/a
t06	57.43	-1.666	-10.23	n/a
t07	60.29	-2.148	-7.878	n/a
t08	63.252	-2.613	-5.58	n/a
i01	27.052	7.162	-31.934	n/a
i02	30.883	6.467	-31.602	n/a
i05	42.264	4.927	-30.878	n/a
i06	46.012	4.505	-30.462	n/a
i07	49.672	4.058	-30.035	n/a
i08	53.263	3.579	-29.651	n/a
i09	56.851	3.095	-29.228	n/a
