name	x	y	z	size	mars	aal
b01	23.776	-15.39	-18.577	1	R_ICC	Hippocampus_R
b02	27.457	-15.924	-18.078	1	R_ICC	Hippocampus_R
b03	31.142	-16.443	-17.666	1	R_ICC	Hippocampus_R
b04	34.813	-16.981	-17.354	1	R_ICC	Hippocampus_R
b05	38.48	-17.556	-17.149	1	R_ICC	Hippocampus_R
b06	42.191	-18.154	-16.977	1	R_VCcm	Hippocampus_R
b07	45.898	-18.754	-16.751	1	not in a mars atlas parcel	Temporal_Inf_R
b08	49.666	-19.419	-16.624	1	R_MTCc	Temporal_Mid_R
b09	53.47	-20.154	-16.588	1	R_MTCc	Temporal_Mid_R
b10	57.249	-20.851	-16.351	1	R_MTCc	Temporal_Mid_R
b11	60.943	-21.497	-15.875	1	R_MTCc	Temporal_Mid_R
b12	64.482	-22.15	-15.233	1	R_MTCc	Temporal_Mid_R
b13	67.947	-22.873	-14.559	1	R_MTCc	Temporal_Mid_R
b14	71.347	-23.645	-13.935	1	R_MTCc	Temporal_Mid_R
b15	74.748	-24.422	-13.369	1	not in a mars atlas parcel	Temporal_Mid_R
c01	24.48	-31.815	-6.095	1	R_ICC	Hippocampus_R
c02	27.78	-33.014	-7.007	1	R_ICC	Hippocampus_R
c03	30.985	-34.21	-7.978	1	R_ICC	Hippocampus_R
c04	34.054	-35.405	-9.067	1	R_VCrm	Hippocampus_R
c05	37.098	-36.594	-10.139	1	not in a mars atlas parcel	Hippocampus_R
c06	40.298	-37.828	-11.076	1	not in a mars atlas parcel	Fusiform_R
c07	43.448	-39.093	-11.98	1	R_VCl	not in a AAL parcel
c08	46.567	-40.38	-12.927	1	R_VCl	Temporal_Inf_R
c09	49.671	-41.648	-13.803	1	R_VCl	Temporal_Mid_R
c10	52.766	-42.928	-14.681	1	R_VCl	Temporal_Inf_R
c11	55.871	-44.235	-15.587	1	R_VCl	Temporal_Inf_R
c12	58.986	-45.578	-16.466	1	R_VCl	Temporal_Inf_R
c13	62.178	-46.96	-17.293	1	R_VCl	Temporal_Inf_R
c14	65.528	-48.389	-18.152	1	R_VCl	Temporal_Inf_R
c15	69.078	-49.843	-19.115	1	not in a mars atlas parcel	Temporal_Inf_R
d01	53.182	-45.002	2.293	1	R_MTCc	Temporal_Mid_R
d02	56.732	-45.151	1.016	1	R_MTCc	Temporal_Mid_R
d03	60.192	-45.376	-0.365	1	R_MTCc	Temporal_Mid_R
d04	63.571	-45.658	-1.84	1	R_MTCc	Temporal_Mid_R
d05	66.98	-46	-3.348	1	R_MTCc	Temporal_Mid_R
d06	70.589	-46.405	-4.813	1	R_MTCc	Temporal_Mid_R
d07	74.314	-46.803	-6.209	1	not in a mars atlas parcel	Temporal_Mid_R
d08	78.029	-47.191	-7.61	1	not in a mars atlas parcel	not in a AAL parcel
d09	81.704	-47.577	-9.048	1	not in a mars atlas parcel	not in a AAL parcel
d10	85.27	-47.922	-10.512	1	not in a mars atlas parcel	not in a AAL parcel
e01	25.504	-29.007	-17.818	1	R_VCrm	ParaHippocampal_R
e02	29.146	-29.282	-17.699	1	R_VCrm	ParaHippocampal_R
e03	32.789	-29.553	-17.668	1	R_VCrm	Fusiform_R
e04	36.425	-29.876	-17.786	1	R_VCcm	Fusiform_R
e05	40.029	-30.242	-17.973	1	R_VCcm	Fusiform_R
e06	43.657	-30.62	-17.926	1	R_VCcm	Fusiform_R
