name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
t01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
t02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
t03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
t04	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
t06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
t07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
u01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
u02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
u05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
u06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
u08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
u09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
i01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
i02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
i03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
i08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
i09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
i10	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
c01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
c02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
c03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
c09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
c10	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
c11	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
f01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
f02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
f03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
f04	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
f11	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
f12	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
f13	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p10	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
