name	x	y	z	size
op01	-4.078	31.567	-18.685	n/a
op02	-8.164	32.202	-18.305	n/a
op03	-12.002	32.868	-17.842	n/a
op05	-19.704	34.37	-16.53	n/a
op06	-23.568	35.033	-16.032	n/a
op07	-27.401	35.621	-15.38	n/a
op08	-31.206	36.156	-14.475	n/a
op09	-34.972	36.644	-13.383	n/a
op11	-42.253	37.633	-11.922	n/a
op12	-45.946	38.165	-11.647	n/a
xp01	-35.59	1.516	-8.207	n/a
xp02	-34.437	2.307	-4.328	n/a
xp03	-33.326	3.129	-0.496	n/a
xp04	-32.249	3.983	3.329	n/a
xp05	-31.133	4.821	7.155	n/a
xp06	-30.0	5.635	11.018	n/a
xp07	-28.748	6.434	15.033	n/a
xp14	-20.92	11.584	43.726	n/a
xp15	-19.841	12.272	47.707	n/a
qp01	-35.311	14.221	5.527	n/a
qp02	-38.752	14.489	6.682	n/a
qp03	-42.241	14.744	7.842	n/a
qp04	-45.772	14.961	8.899	n/a
qp05	-49.35	15.092	9.898	n/a
qp06	-52.979	15.051	10.826	n/a
qp07	-56.717	14.807	11.671	n/a
rp01	-34.073	-5.038	16.85	n/a
rp02	-37.759	-5.104	16.586	n/a
rp03	-41.431	-5.178	16.201	n/a
rp06	-52.295	-6.004	14.135	n/a
rp07	-56.044	-6.367	13.344	n/a
rp08	-59.918	-6.742	12.471	n/a
sp01	-36.628	-18.838	20.34	n/a
sp02	-40.328	-18.618	19.733	n/a
sp03	-44.042	-18.377	19.098	n/a
sp04	-47.793	-18.093	18.585	n/a
sp05	-51.563	-17.84	17.99	n/a
sp07	-59.198	-17.375	16.711	n/a
sp08	-63.094	-17.227	15.946	n/a
vp01	-4.511	-55.067	25.778	n/a
vp02	-8.328	-54.189	25.127	n/a
vp03	-12.147	-53.316	24.474	n/a
vp10	-38.088	-47.709	20.279	n/a
vp11	-41.886	-47.154	19.319	n/a
vp12	-45.668	-46.555	18.329	n/a
vp14	-53.189	-45.105	16.587	n/a
vp15	-56.942	-44.291	15.865	n/a
up02	-37.21	-22.015	8.507	n/a
up03	-40.852	-22.459	7.312	n/a
up04	-44.516	-22.837	6.233	n/a
up05	-48.143	-23.083	5.266	n/a
up06	-51.79	-23.302	4.238	n/a
up07	-55.448	-23.549	3.07	n/a
up08	-59.056	-23.849	1.84	n/a
up09	-62.613	-24.263	0.45	n/a
up10	-66.121	-24.791	-1.118	n/a
ip01	-22.147	-1.608	-30.607	n/a
ip03	-30.122	-1.22	-28.641	n/a
ip04	-34.167	-1.077	-27.747	n/a
ip05	-38.25	-0.907	-26.903	n/a
ip06	-42.319	-0.7	-26.029	n/a
ip07	-46.33	-0.532	-25.072	n/a
ip09	-54.032	-0.428	-23.235	n/a
ip10	-57.862	-0.492	-22.379	n/a
tp01	-40.741	0.593	-20.314	n/a
tp02	-44.183	0.989	-18.316	n/a
tp03	-47.41	1.395	-16.166	n/a
tp04	-50.525	1.739	-14.021	n/a
tp05	-53.714	1.945	-12.019	n/a
tp06	-56.965	2.1	-10.085	n/a
tp07	-60.241	2.262	-8.13	n/a
ap01	-14.395	-5.195	-20.819	n/a
ap02	-18.29	-5.159	-20.811	n/a
ap03	-22.193	-5.103	-20.78	n/a
ap04	-26.105	-5.034	-20.748	n/a
ap05	-30.033	-4.963	-20.751	n/a
ap06	-34.078	-4.919	-20.828	n/a
ap07	-38.189	-4.881	-20.953	n/a
ap09	-46.255	-4.86	-21.152	n/a
ap10	-50.199	-4.898	-21.201	n/a
ap11	-54.139	-4.997	-21.305	n/a
ap12	-58.102	-5.135	-21.377	n/a
bp01	-25.9	-16.234	-19.3	n/a
bp02	-29.387	-14.439	-19.333	n/a
bp03	-32.958	-12.658	-19.435	n/a
bp04	-36.63	-10.908	-19.583	n/a
bp08	-51.049	-4.567	-20.228	n/a
bp09	-54.645	-3.012	-20.33	n/a
bp10	-58.276	-1.5	-20.422	n/a
cp01	-24.329	-34.015	-6.804	n/a
cp02	-28.295	-33.516	-7.057	n/a
cp03	-32.279	-33.01	-7.3	n/a
cp04	-36.253	-32.511	-7.605	n/a
cp08	-51.27	-30.275	-8.514	n/a
cp09	-54.89	-29.892	-8.944	n/a
cp10	-58.53	-29.6	-9.416	n/a
cp11	-62.226	-29.354	-9.855	n/a
cp12	-66.027	-29.14	-10.295	n/a
dp01	-44.991	-45.266	7.317	n/a
dp02	-48.866	-45.191	7.254	n/a
dp03	-52.731	-44.955	7.33	n/a
dp04	-56.587	-44.576	7.558	n/a
dp05	-60.465	-44.121	7.885	n/a
dp06	-64.369	-43.673	8.177	n/a
ep01	-25.285	-26.838	-23.081	n/a
ep02	-29.183	-26.327	-22.77	n/a
ep03	-33.047	-25.863	-22.596	n/a
ep05	-40.866	-25.25	-22.693	n/a
ep06	-44.738	-25.044	-22.725	n/a
ep07	-48.576	-24.843	-22.634	n/a
ep09	-56.046	-24.628	-22.555	n/a
ep10	-59.815	-24.567	-22.39	n/a
ep11	-63.596	-24.539	-22.147	n/a
fp01	-24.352	-41.145	-9.004	n/a
fp02	-28.356	-41.09	-8.933	n/a
fp03	-32.3	-41.085	-8.923	n/a
fp04	-36.155	-41.113	-9.012	n/a
fp05	-39.96	-41.155	-9.124	n/a
fp08	-50.963	-41.056	-8.5	n/a
fp09	-54.656	-41.155	-8.467	n/a
fp11	-62.109	-41.429	-8.321	n/a
fp12	-65.955	-41.584	-8.206	n/a
