name	x	y	z	size
m01	3.629	0.435	36.278	n/a
m02	7.138	0.8	36.876	n/a
m10	37.641	3.599	40.432	n/a
m11	41.517	4.208	41.068	n/a
m12	45.391	4.876	41.718	n/a
m13	49.256	5.65	42.332	n/a
m14	53.12	6.496	42.938	n/a
a01	37.161	24.744	19.66	n/a
a02	40.792	24.833	20.894	n/a
a03	44.282	25.015	22.035	n/a
a04	47.678	25.3	23.162	n/a
a05	51.058	25.678	24.322	n/a
a06	54.481	26.128	25.55	n/a
h01	3.693	17.14	24.582	n/a
h02	7.026	16.616	24.682	n/a
h12	45.48	8.781	22.251	n/a
h13	49.75	8.546	22.2	n/a
h14	54.043	8.509	22.256	n/a
v01	6.06	-38.724	32.541	n/a
v02	9.955	-38.744	31.616	n/a
v13	52.857	-39.268	22.769	n/a
v14	56.466	-39.753	21.973	n/a
v15	60.024	-40.189	21.146	n/a
w01	6.408	-31.068	47.109	n/a
w02	10.486	-31.009	47.865	n/a
w10	42.367	-31.769	53.852	n/a
w11	46.334	-32.171	54.92	n/a
p01	33.282	-61.477	35.187	n/a
p02	36.713	-60.974	33.381	n/a
p03	40.023	-60.493	31.379	n/a
p04	43.159	-60.07	29.279	n/a
p07	52.105	-59.103	22.93	n/a
p08	55.031	-58.811	20.801	n/a
p09	58.112	-58.581	18.702	n/a
q01	34.062	15.173	1.945	n/a
q02	37.429	15.688	3.488	n/a
q03	40.916	16.176	4.961	n/a
q05	48.018	17.373	7.925	n/a
q06	51.628	18.225	9.329	n/a
q07	55.229	19.143	10.776	n/a
r01	40.595	-2.878	17.336	n/a
r02	44.937	-3.009	17.645	n/a
r03	49.246	-2.992	18.031	n/a
r04	53.492	-2.776	18.491	n/a
r05	57.656	-2.487	19.042	n/a
r06	61.689	-2.206	19.602	n/a
s01	35.715	-19.588	27.368	n/a
s02	39.37	-20.959	29.296	n/a
s03	42.787	-22.348	31.622	n/a
s06	52.073	-26.667	39.861	n/a
s07	55.057	-28.154	42.645	n/a
s08	57.969	-29.736	45.309	n/a
b01	17.727	-9.738	-27.839	n/a
b02	21.139	-9.99	-26.41	n/a
b03	24.426	-10.234	-24.979	n/a
b04	27.686	-10.522	-23.641	n/a
b11	51.582	-13.389	-15.463	n/a
b12	55.229	-13.662	-13.972	n/a
b13	58.754	-13.784	-12.143	n/a
n01	38.207	-14.407	38.657	n/a
n02	42.204	-13.693	38.873	n/a
n04	50.013	-12.022	39.453	n/a
n05	53.794	-11.063	39.672	n/a
n06	57.534	-10.11	39.818	n/a
y01	41.71	-10.22	-2.612	n/a
y02	40.506	-11.423	0.827	n/a
y03	39.347	-12.603	4.304	n/a
y05	37.346	-15.051	11.33	n/a
y06	36.437	-16.306	14.791	n/a
y07	35.612	-17.551	18.219	n/a
y13	30.649	-24.66	40.196	n/a
y14	29.532	-25.832	44.086	n/a
x01	40.751	8.174	-3.25	n/a
x02	39.929	11.818	-2.001	n/a
x03	39.141	15.435	-0.654	n/a
x04	38.396	19.012	0.714	n/a
x05	37.827	22.57	1.974	n/a
x09	37.025	36.028	5.023	n/a
x10	36.498	39.28	5.635	n/a
x11	35.815	42.482	6.193	n/a
x14	34.286	52.407	8.308	n/a
x15	33.967	55.803	9.082	n/a
t01	45.266	1.344	-16.376	n/a
t02	48.989	1.653	-16.855	n/a
t03	52.625	2.066	-17.201	n/a
t04	56.196	2.595	-17.331	n/a
t05	59.83	3.188	-17.355	n/a
u01	39.859	-27.621	15.053	n/a
u02	44.154	-27.595	14.437	n/a
u03	48.325	-27.683	14.035	n/a
u05	56.314	-27.896	13.507	n/a
u06	60.171	-27.971	13.21	n/a
u07	63.92	-28.073	12.814	n/a
c01	23.78	-28.69	-9.425	n/a
c02	27.512	-29.035	-9.051	n/a
c03	31.246	-29.272	-8.576	n/a
c07	46.659	-30.317	-7.223	n/a
c08	50.611	-30.658	-6.903	n/a
c09	54.496	-31.077	-6.699	n/a
c12	65.724	-31.727	-4.723	n/a
c13	69.453	-31.766	-3.791	n/a
d01	8.239	-48.577	20.521	n/a
d02	12.334	-48.243	20.6	n/a
d12	50.848	-47.424	19.008	n/a
d13	54.51	-47.718	18.756	n/a
d14	58.121	-48.0	18.541	n/a
e01	22.809	-19.789	-26.647	n/a
e02	26.322	-20.044	-25.713	n/a
e03	29.827	-20.268	-24.848	n/a
e04	33.324	-20.502	-24.117	n/a
e06	40.361	-20.965	-22.859	n/a
e07	43.902	-21.176	-22.27	n/a
e12	62.363	-21.321	-17.282	n/a
e13	65.944	-21.143	-15.821	n/a
f01	13.311	-51.154	-5.134	n/a
f02	16.891	-51.338	-6.116	n/a
f04	24.116	-51.756	-8.171	n/a
f05	27.813	-51.989	-9.233	n/a
f06	31.579	-52.22	-10.172	n/a
f09	42.422	-52.717	-12.365	n/a
f10	46.204	-52.898	-13.241	n/a
f11	49.972	-53.076	-14.168	n/a
