name	x	y	z	size
q01	26.919	21.613	3.583	n/a
q02	30.633	22.01	4.543	n/a
q03	34.245	22.429	5.629	n/a
q04	37.871	22.784	6.828	n/a
q05	41.511	23.066	8.05	n/a
q06	45.163	23.304	9.128	n/a
q07	48.871	23.481	9.869	n/a
q08	52.623	23.629	10.42	n/a
q09	56.364	23.804	10.922	n/a
r01	27.965	2.469	12.944	n/a
r02	31.453	2.56	14.471	n/a
r03	34.639	2.592	16.429	n/a
r04	37.755	2.582	18.511	n/a
r05	40.854	2.663	20.818	n/a
r06	44.005	2.827	23.233	n/a
r07	47.234	3.216	25.719	n/a
r08	50.494	3.75	28.192	n/a
r09	53.742	4.293	30.64	n/a
r10	56.938	4.863	33.062	n/a
b01	3.419	-12.898	57.189	n/a
b02	7.135	-12.995	57.357	n/a
b03	10.948	-13.102	57.568	n/a
b04	14.839	-13.247	57.836	n/a
b05	18.727	-13.452	58.063	n/a
b06	22.598	-13.76	58.237	n/a
b07	26.53	-13.889	58.578	n/a
b08	30.476	-13.662	59.091	n/a
b09	34.432	-13.366	59.607	n/a
b10	38.391	-13.147	59.939	n/a
b11	42.307	-13.021	60.064	n/a
b12	46.215	-12.911	60.187	n/a
b13	50.075	-12.761	60.431	n/a
b14	53.913	-12.632	60.764	n/a
b15	57.716	-12.521	61.077	n/a
y01	28.562	4.438	4.614	n/a
y02	27.438	6.965	7.65	n/a
y03	26.422	9.487	10.688	n/a
y04	25.318	11.947	13.76	n/a
y05	24.145	14.336	16.857	n/a
y06	23.12	16.673	19.987	n/a
y07	22.174	18.968	23.15	n/a
y09	19.968	23.437	29.307	n/a
y10	18.865	25.668	32.338	n/a
y11	17.913	27.959	35.476	n/a
y12	17.134	30.315	38.761	n/a
y13	16.482	32.708	42.168	n/a
y14	15.806	35.104	45.588	n/a
t01	36.299	-9.991	-13.157	n/a
t02	39.542	-9.616	-11.754	n/a
t03	42.797	-9.197	-10.159	n/a
t04	46.163	-8.704	-8.263	n/a
t05	49.653	-8.205	-6.169	n/a
t06	53.179	-7.709	-4.01	n/a
t07	56.723	-7.26	-1.926	n/a
t08	60.266	-6.794	0.149	n/a
u01	33.772	-23.462	3.562	n/a
u02	37.386	-23.217	4.675	n/a
u03	40.987	-23.107	5.987	n/a
u04	44.655	-23.143	7.38	n/a
u05	48.326	-23.272	8.622	n/a
u06	51.98	-23.466	9.722	n/a
u07	55.504	-23.545	11.08	n/a
u08	58.874	-23.524	12.685	n/a
u09	62.133	-23.412	14.446	n/a
s01	24.161	-4.119	25.818	n/a
s02	27.686	-4.648	27.604	n/a
s03	31.102	-5.163	29.553	n/a
s04	34.455	-5.6	31.665	n/a
s05	37.77	-5.93	33.903	n/a
s06	40.997	-6.134	36.198	n/a
s07	44.166	-6.27	38.519	n/a
s08	47.382	-6.49	40.752	n/a
s09	50.653	-6.744	42.898	n/a
s10	53.97	-7.066	45.018	n/a
m01	6.177	2.265	54.841	n/a
m02	10.122	1.717	55.192	n/a
m03	14.097	1.184	55.619	n/a
m04	18.05	0.681	56.092	n/a
m05	21.94	0.192	56.532	n/a
m06	25.728	-0.292	56.933	n/a
m07	29.512	-0.702	57.392	n/a
m08	33.357	-1.033	57.949	n/a
m09	37.229	-1.341	58.508	n/a
m10	41.08	-1.624	59.016	n/a
h01	21.11	-28.034	28.49	n/a
h02	23.577	-28.086	31.737	n/a
h03	25.962	-28.208	35.038	n/a
h04	28.229	-28.38	38.404	n/a
h05	30.335	-28.541	41.744	n/a
h06	32.365	-28.645	45.028	n/a
h07	34.563	-28.858	48.256	n/a
h08	36.92	-29.094	51.425	n/a
h09	39.299	-29.154	54.619	n/a
h10	41.694	-29.197	57.817	n/a
h11	44.182	-29.425	60.941	n/a
l01	24.89	-22.358	8.688	n/a
l02	24.895	-24.334	11.894	n/a
l03	25.002	-26.262	15.049	n/a
l04	25.025	-28.219	18.19	n/a
l05	24.687	-30.26	21.384	n/a
l06	23.955	-32.274	24.609	n/a
l07	22.921	-34.173	27.727	n/a
l08	21.778	-36.048	30.854	n/a
l09	20.649	-37.969	34.024	n/a
l10	19.613	-39.939	37.288	n/a
l11	18.723	-41.933	40.681	n/a
l12	17.98	-43.933	44.165	n/a
l13	17.401	-45.946	47.675	n/a
l14	16.99	-48.001	51.156	n/a
l15	16.684	-50.113	54.603	n/a
l16	16.422	-52.245	58.076	n/a
l17	16.204	-54.357	61.552	n/a
l18	15.976	-56.424	64.994	n/a
v01	7.109	-21.598	37.547	n/a
v02	10.999	-22.379	38.42	n/a
v03	14.806	-23.157	39.626	n/a
v04	18.382	-23.941	41.278	n/a
v05	21.884	-24.69	42.965	n/a
v06	25.452	-25.404	44.604	n/a
v07	29.086	-26.107	46.263	n/a
v08	32.759	-26.778	47.886	n/a
v09	36.447	-27.395	49.37	n/a
v10	40.149	-27.993	50.731	n/a
v11	43.874	-28.667	51.996	n/a
v12	47.614	-29.453	53.194	n/a
v13	51.301	-30.231	54.435	n/a
v14	54.945	-30.925	55.924	n/a
v15	58.611	-31.594	57.555	n/a
p02	9.029	-44.325	46.324	n/a
p03	12.895	-44.394	46.68	n/a
p04	16.764	-44.359	47.194	n/a
p05	20.494	-44.184	47.855	n/a
p06	24.151	-43.946	48.602	n/a
p07	27.85	-43.701	49.393	n/a
p08	31.606	-43.473	50.215	n/a
p09	35.413	-43.276	51.032	n/a
p10	39.302	-43.169	51.771	n/a
p11	43.255	-43.128	52.464	n/a
p12	47.219	-43.105	53.204	n/a
w01	8.611	-62.047	39.528	n/a
w02	12.471	-62.33	39.499	n/a
w03	16.289	-62.564	39.485	n/a
w04	20.06	-62.754	39.489	n/a
w05	23.872	-62.926	39.609	n/a
w06	27.844	-63.14	39.925	n/a
w07	31.835	-63.42	40.308	n/a
w08	35.781	-63.724	40.709	n/a
w09	39.694	-63.971	41.081	n/a
w10	43.554	-64.126	41.368	n/a
w11	47.386	-64.2	41.629	n/a
w12	51.205	-64.196	41.858	n/a
a01	23.643	-1.022	-23.086	n/a
a02	27.096	-0.244	-23.455	n/a
a03	30.578	0.506	-23.812	n/a
a04	34.112	1.073	-24.182	n/a
a05	37.697	1.365	-24.57	n/a
a06	41.32	1.452	-24.989	n/a
a07	44.931	1.574	-25.194	n/a
a08	48.578	1.868	-25.041	n/a
a09	52.254	2.226	-24.794	n/a
a10	55.939	2.62	-24.595	n/a
c01	25.139	-18.626	-19.183	n/a
c02	28.753	-18.895	-19.723	n/a
c03	32.407	-19.307	-20.406	n/a
c04	36.085	-19.781	-21.071	n/a
c05	39.736	-20.179	-21.445	n/a
c06	43.482	-20.453	-21.435	n/a
c07	47.332	-20.581	-21.095	n/a
c08	51.29	-20.53	-20.402	n/a
c09	55.225	-20.327	-19.426	n/a
c10	59.227	-20.165	-18.622	n/a
c11	63.261	-20.088	-18.032	n/a
c12	67.273	-20.102	-17.589	n/a
d01	25.932	-43.836	27.594	n/a
