name	x	y	z	size
np01	-5.944	-16.364	63.354	n/a
np02	-9.825	-16.323	62.711	n/a
np03	-13.701	-16.353	62.052	n/a
np06	-25.495	-16.215	60.316	n/a
np07	-29.466	-16.104	59.764	n/a
np08	-33.521	-16.063	59.269	n/a
np09	-37.562	-15.915	58.945	n/a
np10	-41.397	-15.669	58.665	n/a
np11	-45.189	-15.351	58.241	n/a
np12	-48.971	-14.96	57.811	n/a
xp01	-36.109	9.943	-6.919	n/a
xp02	-34.693	11.194	-3.52	n/a
xp03	-33.303	12.387	0.05	n/a
xp04	-31.874	13.521	3.76	n/a
xp05	-30.42	14.613	7.508	n/a
yp01	-39.164	0.097	0.142	n/a
yp02	-37.934	1.33	3.819	n/a
yp03	-36.781	2.542	7.583	n/a
yp04	-35.761	3.758	11.487	n/a
yp05	-34.784	4.94	15.541	n/a
yp12	-26.541	13.49	44.044	n/a
yp13	-25.523	14.805	47.871	n/a
yp14	-24.591	16.161	51.687	n/a
yp15	-23.809	17.566	55.542	n/a
zp01	-36.829	0.656	-10.59	n/a
zp02	-36.094	-1.239	-7.253	n/a
zp03	-35.264	-3.11	-3.869	n/a
zp04	-34.487	-4.963	-0.436	n/a
zp05	-33.751	-6.797	3.021	n/a
zp06	-33.167	-8.604	6.409	n/a
zp07	-32.535	-10.379	9.823	n/a
zp08	-31.839	-12.126	13.29	n/a
zp09	-31.095	-13.858	16.812	n/a
qp01	-26.989	26.27	5.372	n/a
qp02	-30.629	26.877	6.479	n/a
qp03	-34.219	27.429	7.692	n/a
qp04	-37.808	27.849	8.853	n/a
qp05	-41.428	28.197	9.97	n/a
qp06	-45.097	28.553	11.128	n/a
qp07	-48.816	28.978	12.38	n/a
qp08	-52.605	29.47	13.675	n/a
lp01	-40.312	13.036	8.759	n/a
lp02	-44.005	12.552	7.471	n/a
lp03	-47.727	12.113	6.505	n/a
lp04	-51.428	11.689	5.888	n/a
rp01	-33.332	2.245	14.503	n/a
rp02	-37.021	2.554	15.47	n/a
rp03	-40.634	2.96	16.782	n/a
rp04	-44.133	3.366	18.164	n/a
rp05	-47.593	3.764	19.686	n/a
rp06	-51.128	4.203	21.341	n/a
rp07	-54.821	4.521	23.006	n/a
cp01	-43.004	-6.375	11.59	n/a
cp02	-46.617	-5.902	12.263	n/a
cp03	-50.247	-5.374	13.229	n/a
cp04	-53.843	-4.826	14.448	n/a
cp05	-57.521	-4.308	15.632	n/a
jp01	-0.9	-31.435	64.744	n/a
jp02	-4.435	-32.492	65.754	n/a
jp03	-7.906	-33.514	66.809	n/a
jp04	-11.353	-34.491	67.897	n/a
jp05	-14.828	-35.504	69.005	n/a
jp06	-18.286	-36.48	70.125	n/a
jp07	-21.721	-37.452	71.109	n/a
mp01	-2.21	0.917	34.314	n/a
mp02	-6.072	0.641	35.057	n/a
mp03	-9.903	0.364	35.973	n/a
mp06	-21.119	-0.439	38.975	n/a
mp07	-24.806	-0.69	39.985	n/a
mp08	-28.495	-0.923	40.883	n/a
mp09	-32.215	-1.121	41.709	n/a
mp10	-35.964	-1.262	42.581	n/a
mp12	-43.522	-1.322	44.33	n/a
mp13	-47.389	-1.333	45.181	n/a
sp01	-30.154	-14.706	21.469	n/a
sp02	-34.138	-14.402	21.465	n/a
sp03	-37.905	-13.987	21.835	n/a
sp04	-41.634	-13.501	22.405	n/a
sp05	-45.43	-12.961	23.229	n/a
sp06	-49.269	-12.392	24.124	n/a
sp07	-53.112	-11.74	24.998	n/a
sp08	-56.987	-11.099	25.863	n/a
sp09	-60.957	-10.601	26.682	n/a
vp01	-1.893	-26.117	33.888	n/a
vp02	-5.846	-26.024	33.432	n/a
vp03	-9.966	-25.927	32.838	n/a
vp14	-54.126	-24.425	28.233	n/a
vp15	-58.016	-24.029	28.204	n/a
vp16	-61.902	-23.656	28.227	n/a
pp01	-3.103	-44.847	64.604	n/a
pp02	-6.415	-45.5	66.41	n/a
pp05	-16.366	-47.506	71.498	n/a
pp06	-19.761	-48.117	73.165	n/a
fp01	-1.632	3.402	49.877	n/a
fp02	-5.41	3.909	49.126	n/a
fp03	-9.063	4.436	48.414	n/a
fp10	-34.891	8.335	44.813	n/a
fp11	-38.632	9.039	44.08	n/a
fp12	-42.442	9.744	43.387	n/a
fp13	-46.3	10.431	42.726	n/a
tp01	-34.516	1.886	-17.904	n/a
tp02	-38.492	1.85	-18.921	n/a
tp03	-42.453	1.803	-20.057	n/a
tp05	-50.401	1.48	-22.816	n/a
tp06	-54.204	1.192	-24.181	n/a
up01	-35.813	-12.063	-6.993	n/a
up02	-39.995	-12.473	-6.218	n/a
up03	-44.072	-12.878	-5.443	n/a
up05	-51.958	-13.568	-3.597	n/a
up06	-55.774	-13.839	-2.448	n/a
up07	-59.587	-14.098	-1.31	n/a
bp01	-2.792	-28.5	65.835	n/a
bp02	-6.765	-28.508	66.038	n/a
bp03	-10.621	-28.517	66.23	n/a
bp04	-14.448	-28.506	66.485	n/a
bp05	-18.319	-28.523	66.84	n/a
bp06	-22.254	-28.628	67.244	n/a
bp07	-26.217	-28.768	67.591	n/a
bp08	-30.15	-28.779	67.92	n/a
bp09	-34.11	-28.666	68.396	n/a
