name	x	y	z	size
u01	37.231	-17.313	-0.133	n/a
u02	40.974	-17.052	0.543	n/a
u03	44.636	-16.691	1.267	n/a
u07	59.129	-15.635	3.402	n/a
u08	62.79	-15.485	3.82	n/a
u09	66.472	-15.41	4.135	n/a
b01	23.14	-13.991	-20.225	n/a
b02	27.025	-13.99	-20.404	n/a
b03	30.928	-14.023	-20.672	n/a
b10	57.356	-14.395	-23.59	n/a
b11	61.112	-14.712	-24.295	n/a
c01	28.63	-31.508	-8.245	n/a
c02	32.414	-31.794	-8.181	n/a
c03	36.24	-32.107	-8.134	n/a
c10	61.248	-34.894	-8.834	n/a
c11	64.874	-35.388	-9.018	n/a
d01	0.616	-53.608	18.617	n/a
d02	4.44	-54.226	18.354	n/a
d03	8.271	-54.844	18.072	n/a
d04	12.13	-55.496	17.76	n/a
d05	16.012	-56.121	17.466	n/a
d06	19.94	-56.629	17.22	n/a
d13	45.088	-59.489	13.732	n/a
d14	48.682	-59.843	13.136	n/a
d15	52.234	-60.16	12.549	n/a
e01	19.565	-49.103	-10.876	n/a
e02	23.208	-48.856	-10.476	n/a
e03	26.83	-48.649	-10.16	n/a
e04	30.433	-48.487	-9.914	n/a
e05	34.091	-48.417	-9.83	n/a
e09	49.219	-48.644	-10.118	n/a
e10	52.987	-48.661	-10.131	n/a
e11	56.731	-48.628	-10.021	n/a
e12	60.482	-48.588	-9.818	n/a
f01	11.83	-57.684	1.14	n/a
f02	15.441	-58.207	0.388	n/a
f03	19.038	-58.723	-0.328	n/a
f05	26.152	-59.883	-2.25	n/a
f06	29.72	-60.514	-3.47	n/a
f07	33.252	-61.143	-4.76	n/a
f08	36.832	-61.797	-6.045	n/a
f10	44.253	-63.132	-8.548	n/a
f11	48.007	-63.78	-9.719	n/a
o01	5.779	-76.489	2.125	n/a
o02	9.504	-77.199	1.955	n/a
o03	13.216	-77.897	1.786	n/a
o09	35.601	-81.715	0.255	n/a
o10	39.24	-82.267	-0.087	n/a
o11	42.835	-82.808	-0.396	n/a
i01	3.482	-25.88	34.438	n/a
i02	7.047	-26.122	34.639	n/a
i03	10.664	-26.332	34.913	n/a
i10	36.629	-27.597	36.729	n/a
i11	40.304	-27.682	36.886	n/a
i12	43.963	-27.715	36.784	n/a
i13	47.604	-27.735	36.47	n/a
i14	51.209	-27.761	36.103	n/a
i15	54.82	-27.857	35.682	n/a
vp01	-3.616	-47.256	28.189	n/a
vp02	-7.323	-46.502	28.82	n/a
vp03	-10.949	-45.818	29.708	n/a
vp15	-54.027	-37.413	37.736	n/a
vp16	-57.754	-36.806	38.029	n/a
vp17	-61.468	-36.199	38.344	n/a
s01	6.877	-76.624	11.346	n/a
s02	10.752	-76.874	11.385	n/a
s03	14.612	-77.119	11.431	n/a
s04	18.476	-77.333	11.465	n/a
s09	37.098	-77.531	11.332	n/a
s10	40.735	-77.501	11.236	n/a
s11	44.31	-77.401	11.125	n/a
w01	3.211	-56.566	32.185	n/a
w02	6.852	-57.436	32.11	n/a
w03	10.454	-58.357	32.012	n/a
w04	14.006	-59.193	31.967	n/a
w05	17.553	-59.8	32.022	n/a
w06	21.21	-60.236	32.189	n/a
w07	24.941	-60.641	32.408	n/a
w08	28.614	-61.061	32.512	n/a
w11	39.574	-62.056	31.982	n/a
w12	43.223	-62.437	31.708	n/a
w13	46.838	-62.825	31.409	n/a
w14	50.395	-63.207	31.085	n/a
v01	3.767	-47.964	22.703	n/a
v02	7.501	-47.934	23.605	n/a
v03	11.192	-47.96	24.526	n/a
v14	50.567	-45.876	34.153	n/a
v15	54.111	-45.592	34.811	n/a
v16	57.621	-45.316	35.457	n/a
v17	61.074	-45.053	36.11	n/a
h01	3.58	-8.863	37.044	n/a
h02	7.297	-9.017	36.921	n/a
h03	11.032	-9.182	36.864	n/a
h10	37.282	-9.907	36.377	n/a
h11	41.122	-10.032	36.215	n/a
h15	56.115	-9.441	35.343	n/a
h16	59.802	-9.402	34.946	n/a
p01	4.478	-44.035	51.892	n/a
p02	8.028	-44.613	51.593	n/a
p03	11.578	-45.097	51.383	n/a
p07	26.14	-46.385	50.576	n/a
p08	29.874	-46.659	50.223	n/a
p11	41.05	-47.171	49.179	n/a
p12	44.778	-47.339	48.744	n/a
p13	48.505	-47.524	48.287	n/a
p14	52.201	-47.729	47.82	n/a
cp01	-21.457	-19.317	-16.907	n/a
cp02	-25.343	-19.029	-17.23	n/a
cp03	-29.263	-18.744	-17.712	n/a
cp09	-53.026	-17.045	-21.171	n/a
cp10	-56.904	-16.944	-21.971	n/a
cp11	-60.752	-16.908	-22.869	n/a
cp12	-64.554	-16.9	-23.795	n/a
fp01	-8.455	-62.009	-1.435	n/a
fp02	-12.276	-61.657	-1.948	n/a
fp03	-16.014	-61.296	-2.506	n/a
fp05	-23.37	-60.763	-4.028	n/a
fp06	-27.009	-60.547	-5.011	n/a
fp07	-30.624	-60.402	-6.228	n/a
fp11	-45.305	-60.05	-10.959	n/a
fp12	-49.105	-59.977	-11.974	n/a
fp13	-52.904	-59.902	-12.922	n/a
