name	x	y	z	size
e01	31.059	-31.17	-24.139	n/a
e02	34.701	-31.078	-22.891	n/a
e03	38.323	-30.939	-21.621	n/a
e04	41.955	-30.806	-20.361	n/a
e05	45.613	-30.684	-19.173	n/a
e06	49.33	-30.562	-17.908	n/a
e07	53.102	-30.515	-16.632	n/a
e08	56.89	-30.511	-15.313	n/a
e09	60.687	-30.53	-13.974	n/a
e10	64.428	-30.569	-12.608	n/a
e11	68.088	-30.613	-11.176	n/a
t01	43.108	-11.873	-10.243	n/a
t02	46.85	-12.238	-8.904	n/a
t03	50.653	-12.688	-7.63	n/a
t04	54.487	-13.186	-6.398	n/a
t05	58.282	-13.638	-5.05	n/a
t06	61.944	-14.013	-3.448	n/a
t07	65.429	-14.4	-1.797	n/a
t08	69.021	-14.786	-0.34	n/a
x01	3.531	-56.186	12.866	n/a
x02	7.657	-55.458	13.095	n/a
x03	11.697	-54.662	13.224	n/a
x04	15.73	-54.023	13.201	n/a
x05	19.795	-53.489	13.064	n/a
x06	23.812	-53.181	12.798	n/a
x07	27.784	-52.965	12.473	n/a
x08	31.738	-52.772	12.275	n/a
x09	35.585	-52.544	12.143	n/a
x10	39.395	-52.297	12.106	n/a
x11	43.111	-52.02	12.087	n/a
x12	46.804	-51.721	12.075	n/a
x13	50.56	-51.406	12.109	n/a
x14	54.368	-51.043	12.204	n/a
x15	58.198	-50.622	12.362	n/a
x16	62.042	-50.178	12.557	n/a
x17	65.939	-49.754	12.777	n/a
c01	28.557	-32.498	-7.8	n/a
c02	32.376	-32.498	-7.975	n/a
c03	36.201	-32.438	-8.057	n/a
c04	40.121	-32.386	-8.105	n/a
c05	44.007	-32.364	-8.204	n/a
c06	47.904	-32.369	-8.346	n/a
c07	51.839	-32.417	-8.485	n/a
c08	55.807	-32.529	-8.587	n/a
c09	59.748	-32.677	-8.621	n/a
c10	63.603	-32.847	-8.652	n/a
c11	67.437	-33.048	-8.727	n/a
c12	71.373	-33.252	-8.841	n/a
v01	0.125	-42.136	26.077	n/a
v02	4.258	-42.053	26.067	n/a
v03	8.433	-41.879	25.925	n/a
v04	12.613	-41.717	25.795	n/a
v05	16.762	-41.644	25.835	n/a
v06	20.847	-41.625	25.913	n/a
v07	24.871	-41.661	25.935	n/a
v09	32.799	-41.91	25.818	n/a
v10	36.774	-42.113	25.765	n/a
v11	40.759	-42.384	25.762	n/a
v12	44.618	-42.608	25.879	n/a
v13	48.345	-42.743	26.118	n/a
v14	52.033	-42.858	26.42	n/a
v15	55.714	-43.011	26.756	n/a
v16	59.379	-43.146	27.091	n/a
v17	63.04	-43.256	27.397	n/a
b01	20.561	-15.489	-20.637	n/a
b02	24.409	-15.416	-20.717	n/a
b03	28.192	-15.435	-20.807	n/a
b04	31.926	-15.513	-20.833	n/a
b05	35.662	-15.573	-20.698	n/a
b06	39.517	-15.611	-20.491	n/a
b07	43.415	-15.77	-20.452	n/a
b08	47.289	-16.005	-20.463	n/a
b09	51.198	-16.222	-20.428	n/a
b10	55.071	-16.384	-20.211	n/a
b11	58.892	-16.476	-19.821	n/a
b12	62.76	-16.527	-19.478	n/a
b13	66.702	-16.521	-19.245	n/a
d01	17.147	-45.046	-9.387	n/a
d02	20.882	-45.275	-8.914	n/a
