name	x	y	z	size
qp01	-27.661	16.951	9.97	n/a
qp02	-30.855	17.072	10.946	n/a
qp03	-34.011	17.219	11.987	n/a
qp08	-49.627	17.718	15.241	n/a
qp09	-52.802	17.943	15.845	n/a
rp01	-33.223	-5.66	18.273	n/a
rp02	-36.398	-5.305	19.206	n/a
rp03	-39.634	-4.985	20.078	n/a
rp07	-52.733	-3.991	22.115	n/a
rp08	-55.918	-3.593	22.846	n/a
rp09	-59.022	-3.041	23.628	n/a
sp01	-40.483	-25.947	24.476	n/a
sp02	-43.881	-25.971	25.026	n/a
sp03	-47.309	-25.994	25.419	n/a
sp05	-54.175	-25.794	26.355	n/a
sp06	-57.555	-25.53	27.112	n/a
sp07	-60.898	-25.228	27.95	n/a
xp01	-33.53	10.44	-0.087	n/a
xp02	-32.17	12.082	3.446	n/a
xp03	-30.715	13.674	6.948	n/a
xp04	-29.151	15.213	10.386	n/a
xp05	-27.439	16.719	13.795	n/a
xp11	-19.149	26.261	34.077	n/a
xp12	-18.084	27.949	37.582	n/a
xp13	-16.869	29.574	41.003	n/a
xp15	-13.717	32.572	47.463	n/a
xp16	-12.061	34.046	50.567	n/a
xp17	-10.564	35.633	53.754	n/a
yp01	-35.363	1.87	-11.533	n/a
yp02	-34.845	-0.121	-8.325	n/a
yp03	-34.348	-2.124	-5.196	n/a
yp04	-33.787	-4.132	-2.135	n/a
yp05	-33.22	-6.149	0.922	n/a
yp06	-32.636	-8.178	3.973	n/a
yp09	-30.91	-14.339	12.903	n/a
yp10	-30.201	-16.383	15.891	n/a
yp11	-29.4	-18.384	18.927	n/a
yp12	-28.656	-20.355	22.027	n/a
vp01	0.897	-33.706	30.211	n/a
vp02	-2.615	-34.352	29.698	n/a
vp03	-6.026	-34.976	29.114	n/a
vp15	-45.787	-40.901	22.318	n/a
vp16	-49.337	-41.222	21.696	n/a
vp17	-52.905	-41.431	21.172	n/a
tp01	-44.573	-0.654	-13.368	n/a
tp02	-47.611	-0.471	-12.118	n/a
tp03	-50.521	-0.303	-10.863	n/a
tp04	-53.472	-0.167	-9.687	n/a
tp05	-56.363	0.008	-8.41	n/a
kp01	-42.585	-18.072	-3.107	n/a
kp02	-45.911	-18.016	-2.391	n/a
kp03	-49.189	-17.92	-1.65	n/a
kp04	-52.454	-17.848	-0.981	n/a
kp05	-55.694	-17.789	-0.343	n/a
kp06	-58.892	-17.704	0.389	n/a
kp07	-62.008	-17.647	1.179	n/a
kp08	-65.029	-17.608	2.026	n/a
ip01	-24.156	-3.053	-32.176	n/a
ip02	-27.79	-2.878	-31.582	n/a
ip03	-31.443	-2.628	-31.039	n/a
ip07	-45.138	-2.177	-30.463	n/a
ip08	-48.289	-2.161	-30.475	n/a
ip09	-51.322	-2.254	-30.551	n/a
ip10	-54.265	-2.414	-30.623	n/a
up01	-36.573	-24.816	10.838	n/a
up02	-39.951	-24.536	10.126	n/a
up04	-46.744	-24.011	8.554	n/a
up05	-50.155	-23.794	7.64	n/a
up06	-53.548	-23.633	6.553	n/a
up07	-56.911	-23.47	5.477	n/a
up08	-60.201	-23.208	4.63	n/a
up09	-63.407	-22.911	3.879	n/a
lp01	-31.695	3.7	-23.706	n/a
lp02	-35.005	3.673	-25.051	n/a
lp03	-38.287	3.636	-26.573	n/a
lp04	-41.467	3.732	-28.064	n/a
lp05	-44.431	3.742	-29.563	n/a
ap01	-15.925	-7.587	-19.317	n/a
ap02	-19.403	-7.501	-18.974	n/a
ap03	-22.916	-7.392	-18.499	n/a
ap04	-26.457	-7.241	-17.946	n/a
ap10	-47.275	-6.769	-16.29	n/a
ap11	-50.389	-6.765	-16.186	n/a
ap12	-53.408	-6.821	-16.177	n/a
ap13	-56.394	-6.869	-16.104	n/a
ap14	-59.361	-6.864	-15.84	n/a
bp01	-22.191	-14.866	-16.856	n/a
bp02	-25.602	-15.133	-16.268	n/a
bp03	-29.051	-15.369	-15.675	n/a
bp09	-49.348	-17.592	-14.53	n/a
bp10	-52.525	-17.995	-14.498	n/a
bp12	-58.927	-18.689	-14.068	n/a
bp13	-62.148	-19.047	-13.727	n/a
cp01	-25.029	-30.403	-9.842	n/a
cp02	-28.53	-30.495	-10.497	n/a
cp03	-32.072	-30.656	-11.265	n/a
cp04	-35.65	-30.812	-12.016	n/a
cp09	-52.38	-31.311	-15.78	n/a
cp10	-55.59	-31.604	-16.807	n/a
cp11	-58.808	-31.927	-17.808	n/a
cp12	-62.033	-32.241	-18.761	n/a
dp01	-41.713	-54.664	2.381	n/a
dp02	-44.98	-54.468	2.831	n/a
dp03	-48.269	-54.251	3.331	n/a
dp04	-51.574	-54.043	3.832	n/a
dp05	-54.907	-53.909	4.289	n/a
dp06	-58.255	-53.841	4.653	n/a
dp07	-61.635	-53.838	4.931	n/a
ep01	-31.395	-28.051	-16.918	n/a
ep02	-34.932	-27.982	-17.164	n/a
ep04	-41.784	-27.81	-17.617	n/a
ep05	-45.128	-27.739	-17.833	n/a
ep06	-48.441	-27.734	-18.18	n/a
ep07	-51.686	-27.797	-18.652	n/a
ep08	-54.872	-27.867	-19.074	n/a
fp01	-21.23	-42.085	-10.433	n/a
fp02	-24.765	-41.999	-10.016	n/a
fp03	-28.284	-41.942	-9.615	n/a
fp04	-31.793	-41.944	-9.232	n/a
fp11	-55.749	-41.786	-6.761	n/a
fp12	-59.055	-41.898	-6.67	n/a
fp13	-62.426	-42.09	-6.699	n/a
