name	x	y	z	size
rp01	-34.664	-2.349	14.756	n/a
rp02	-38.184	-2.058	16.091	n/a
rp06	-52.166	-0.967	19.938	n/a
rp07	-55.594	-0.682	20.698	n/a
rp08	-59.033	-0.451	21.458	n/a
rp09	-62.488	-0.221	22.176	n/a
ip01	-24.312	-2.884	-34.494	n/a
ip02	-27.893	-2.561	-33.82	n/a
ip03	-31.406	-2.418	-33.213	n/a
ip04	-34.951	-2.373	-32.539	n/a
ip07	-45.832	-1.952	-29.969	n/a
ip08	-49.472	-1.737	-29.262	n/a
bp01	-21.329	-16.112	-19.283	n/a
bp02	-24.922	-15.552	-18.455	n/a
bp03	-28.526	-14.991	-17.601	n/a
bp04	-32.13	-14.415	-16.7	n/a
bp08	-46.055	-12.301	-13.374	n/a
bp09	-49.584	-11.906	-12.854	n/a
bp10	-53.114	-11.508	-12.36	n/a
cp01	-27.652	-34.778	-5.097	n/a
cp02	-31.338	-34.175	-5.852	n/a
cp03	-35.062	-33.489	-6.462	n/a
cp08	-52.838	-30.667	-11.383	n/a
cp09	-56.183	-30.331	-12.885	n/a
cp10	-59.504	-30.007	-14.36	n/a
tp01	-39.533	-4.173	-13.238	n/a
tp02	-42.684	-3.156	-13.063	n/a
tp03	-45.905	-2.239	-13.053	n/a
tp04	-49.31	-1.399	-13.199	n/a
tp05	-52.823	-0.579	-13.445	n/a
tp06	-56.377	0.265	-13.752	n/a
tp07	-59.921	1.162	-14.063	n/a
up01	-40.78	-19.921	-3.831	n/a
up02	-44.513	-19.713	-3.406	n/a
up05	-55.66	-19.322	-3.143	n/a
up06	-59.461	-19.383	-3.383	n/a
up07	-63.255	-19.476	-3.542	n/a
dp01	-43.295	-36.556	11.795	n/a
dp02	-47.032	-35.84	11.511	n/a
dp05	-58.2	-34.315	9.501	n/a
dp06	-61.874	-34.016	8.402	n/a
dp07	-65.5	-33.697	7.295	n/a
op01	-3.649	43.137	-14.713	n/a
op02	-7.216	42.62	-14.385	n/a
op06	-20.781	40.813	-12.268	n/a
op07	-24.196	40.368	-11.728	n/a
op08	-27.683	39.919	-11.27	n/a
op12	-41.474	37.863	-9.134	n/a
op13	-44.902	37.195	-8.765	n/a
op14	-48.353	36.454	-8.477	n/a
gp02	-4.908	38.797	1.444	n/a
gp03	-8.404	38.137	1.972	n/a
gp10	-32.64	33.664	6.018	n/a
gp11	-36.192	33.172	6.704	n/a
gp13	-43.109	31.795	7.684	n/a
gp14	-46.474	30.875	7.896	n/a
gp15	-49.882	29.951	8.045	n/a
gp16	-53.447	29.111	8.184	n/a
sp01	-35.262	-24.438	19.093	n/a
sp02	-38.842	-23.962	20.532	n/a
sp03	-42.466	-23.529	21.762	n/a
sp05	-49.737	-22.883	24.064	n/a
sp06	-53.335	-22.735	25.126	n/a
sp07	-56.892	-22.623	26.157	n/a
jp01	-6.95	19.309	43.931	n/a
jp02	-10.562	19.488	43.963	n/a
jp04	-17.388	19.71	43.668	n/a
jp05	-20.743	19.772	43.394	n/a
jp06	-24.218	19.925	43.338	n/a
jp07	-27.709	20.205	43.516	n/a
jp09	-34.689	20.825	43.774	n/a
jp10	-38.219	21.15	43.787	n/a
vp01	-2.567	-45.64	27.739	n/a
vp02	-6.414	-45.546	27.772	n/a
vp12	-45.164	-43.26	29.267	n/a
vp13	-49.043	-43.038	29.504	n/a
vp14	-52.914	-42.92	29.719	n/a
vp15	-56.793	-42.834	29.831	n/a
zp01	-40.431	1.991	-6.89	n/a
zp02	-39.046	4.138	-4.294	n/a
zp03	-37.668	6.268	-1.65	n/a
zp04	-36.292	8.407	1.107	n/a
zp05	-34.876	10.529	3.927	n/a
zp06	-33.416	12.613	6.78	n/a
zp07	-31.934	14.664	9.605	n/a
zp08	-30.475	16.697	12.359	n/a
kp01	-38.41	-1.684	-10.449	n/a
kp02	-38.109	-3.664	-7.154	n/a
kp04	-37.705	-7.787	-0.795	n/a
kp05	-37.53	-9.847	2.28	n/a
kp07	-36.794	-13.791	8.496	n/a
kp08	-36.305	-15.714	11.662	n/a
qp01	-35.47	5.703	8.556	n/a
qp02	-38.593	6.942	9.648	n/a
qp03	-41.714	8.175	10.555	n/a
qp04	-44.785	9.415	11.218	n/a
qp05	-47.867	10.679	11.757	n/a
qp06	-50.958	11.89	12.251	n/a
qp07	-54.141	12.941	12.775	n/a
xp02	-10.082	35.497	-25.877	n/a
xp03	-10.491	37.796	-22.685	n/a
xp04	-10.838	40.128	-19.476	n/a
xp05	-11.222	42.492	-16.132	n/a
xp13	-13.919	60.566	9.524	n/a
xp14	-13.963	62.621	12.65	n/a
xp15	-13.983	64.548	15.721	n/a
yp01	-16.826	21.868	-25.357	n/a
yp02	-17.777	24.273	-22.429	n/a
yp03	-18.62	26.716	-19.374	n/a
yp04	-19.392	29.181	-16.256	n/a
yp05	-20.028	31.64	-13.101	n/a
yp12	-25.989	48.213	7.456	n/a
yp13	-26.88	50.567	10.387	n/a
yp14	-27.736	52.904	13.305	n/a
yp15	-28.51	55.177	16.203	n/a
fp01	-6.523	34.001	28.445	n/a
fp02	-10.098	34.972	28.603	n/a
fp05	-20.174	37.72	28.837	n/a
fp06	-23.363	38.546	28.736	n/a
fp08	-29.868	40.537	28.85	n/a
fp09	-33.178	41.636	28.971	n/a
fp10	-36.542	42.806	29.132	n/a
