name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
rp01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
rp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
rp06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
rp07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
rp08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
rp09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip04	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
bp01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
bp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
bp03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
bp04	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
bp08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
bp09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
bp10	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
cp01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
cp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
cp03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
cp08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
cp09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
cp10	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp04	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
up01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
up02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
up05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
up06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
up07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
dp01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
dp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
dp05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
dp06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
dp07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op12	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op13	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op14	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp10	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp11	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp13	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp14	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp15	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp16	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
jp01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
jp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
jp04	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
jp05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
jp06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
jp07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
