name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
ip01	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ip02	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ip03	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ip04	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ip05	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ip06	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ip07	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ip08	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ip09	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ip10	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ip11	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ip12	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap01	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap02	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap03	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap04	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap05	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap06	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap07	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap08	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap09	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap10	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap11	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap12	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap13	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
ap14	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
up01	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
up02	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
up03	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
up04	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
up05	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
up06	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
up07	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
up08	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
up09	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
yp01	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
yp02	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
yp03	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
yp04	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
yp05	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
yp06	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
yp07	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
yp08	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
