name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
sp01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp13	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
sp14	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op11	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
op12	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
zp01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
zp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
zp03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
zp05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
zp06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
zp08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
zp09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
zp14	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
zp15	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp11	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp12	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
gp13	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
qp01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
qp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
qp06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
qp07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
qp08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
xp01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
xp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
xp03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
xp04	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
xp05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
xp06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
xp13	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
xp14	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp04	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
tp06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
ip10	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
b01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
