name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
s01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
s02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
s10	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
s11	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
s14	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
s15	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
v01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
v02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
v03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
v11	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
v12	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
v16	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
v17	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p12	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
p13	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
w01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
w02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
w03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
w12	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
w13	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
w15	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
w16	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
l01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
l02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
l03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
l04	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
l05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
l06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
l07	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
l08	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
l09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
l13	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
l14	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
m01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
m02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
m03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
m04	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
m09	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
m10	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
o01	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
o02	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
o03	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
o04	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
o05	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
o06	SEEG	V	0.0	512.0	StereoEEG	1024.0	good	n/a
