name	x	y	z	size
o01	0.761	39.428	-21.503	n/a
o02	4.286	39.623	-20.557	n/a
o03	7.795	39.874	-19.51	n/a
o06	18.313	40.955	-15.738	n/a
o07	21.823	41.393	-14.408	n/a
o08	25.213	41.787	-12.87	n/a
o12	38.801	42.874	-7.817	n/a
o13	42.289	43.092	-6.855	n/a
o14	45.854	43.282	-5.818	n/a
g01	2.139	38.501	9.786	n/a
g02	5.696	38.661	9.44	n/a
g03	9.267	38.882	9.114	n/a
g09	31.308	40.361	7.842	n/a
g10	35.054	40.592	7.659	n/a
g12	42.221	40.656	7.04	n/a
g13	45.733	40.604	6.707	n/a
g14	49.214	40.534	6.398	n/a
y01	18.884	39.61	-18.792	n/a
y02	20.448	41.633	-15.927	n/a
y03	21.927	43.687	-12.992	n/a
y07	28.046	52.145	-2.119	n/a
y08	29.653	53.975	0.416	n/a
y09	31.261	55.721	2.974	n/a
y10	32.836	57.366	5.588	n/a
y11	34.377	58.931	8.268	n/a
y12	35.961	60.615	11.011	n/a
y13	37.687	62.528	13.816	n/a
x01	2.976	49.446	19.073	n/a
x02	6.171	49.858	19.465	n/a
x03	9.41	50.257	19.816	n/a
x04	12.782	50.676	20.128	n/a
x07	23.675	52.326	21.34	n/a
x08	27.281	52.925	21.83	n/a
x09	30.832	53.437	22.294	n/a
x10	34.395	53.92	22.735	n/a
x11	38.075	54.578	23.268	n/a
x12	41.919	55.42	23.928	n/a
e01	2.881	41.727	23.029	n/a
e02	6.35	41.719	23.141	n/a
e07	24.094	41.675	23.634	n/a
e08	27.639	41.65	23.748	n/a
e09	31.177	41.617	23.864	n/a
e11	38.232	41.628	24.118	n/a
e12	41.766	41.664	24.236	n/a
e13	45.368	41.759	24.383	n/a
w01	0.855	35.797	29.495	n/a
w02	3.338	38.226	30.174	n/a
w03	5.81	40.641	30.854	n/a
w04	8.324	43.015	31.492	n/a
w07	16.626	50.094	33.191	n/a
w08	19.411	52.369	33.62	n/a
w09	22.216	54.606	33.984	n/a
w10	25.105	56.957	34.47	n/a
z01	3.322	45.516	39.987	n/a
z03	9.104	46.631	43.694	n/a
z04	12.097	47.163	45.489	n/a
r01	33.443	4.291	8.502	n/a
r02	37.135	4.025	8.988	n/a
r03	40.776	3.676	9.498	n/a
r04	44.376	3.236	10.018	n/a
r06	51.622	2.477	11.229	n/a
r07	55.307	2.333	11.919	n/a
r08	58.921	2.304	12.709	n/a
r09	62.412	2.276	13.569	n/a
a01	1.97	18.696	57.195	n/a
a02	5.052	19.868	58.446	n/a
a03	8.329	21.015	59.59	n/a
a04	11.655	22.182	60.742	n/a
a05	15.026	23.46	62.134	n/a
a06	18.424	24.839	63.698	n/a
a07	21.841	26.172	65.056	n/a
m01	3.34	-2.711	49.852	n/a
m02	6.823	-2.348	50.138	n/a
m03	10.342	-2.013	50.401	n/a
m06	21.433	-1.211	51.193	n/a
m07	25.209	-0.917	51.492	n/a
m08	28.903	-0.576	51.707	n/a
m10	36.184	0.235	51.973	n/a
m11	39.857	0.506	52.225	n/a
m12	43.499	0.798	52.507	n/a
m13	47.143	1.194	52.831	n/a
n01	3.82	-15.406	62.961	n/a
n02	7.344	-15.151	64.356	n/a
n03	10.946	-14.943	65.76	n/a
n04	14.517	-14.658	67.248	n/a
n05	18.056	-14.266	68.8	n/a
n06	21.603	-13.788	70.417	n/a
n07	25.178	-13.349	72.139	n/a
b01	32.666	20.079	8.611	n/a
b02	36.237	20.461	9.668	n/a
b03	39.816	20.81	10.737	n/a
b06	50.444	22.134	14.402	n/a
b07	53.909	22.709	15.584	n/a
b08	57.405	23.34	16.773	n/a
q01	31.189	20.591	0.757	n/a
q02	34.383	22.264	1.868	n/a
q03	37.628	23.856	2.893	n/a
q04	40.92	25.327	3.865	n/a
q05	44.231	26.726	4.843	n/a
q06	47.538	28.212	5.858	n/a
q07	50.748	29.833	6.907	n/a
q08	53.908	31.512	7.933	n/a
f01	3.931	30.432	44.5	n/a
f02	7.26	30.195	43.608	n/a
f03	10.707	29.968	42.743	n/a
f06	21.141	29.32	40.25	n/a
f07	24.811	29.189	39.577	n/a
f08	28.486	29.011	38.852	n/a
f09	32.165	28.844	38.141	n/a
f10	35.854	28.744	37.463	n/a
f12	43.17	28.524	36.037	n/a
f13	46.773	28.391	35.271	n/a
h01	1.694	3.105	36.524	n/a
h02	5.447	3.19	36.512	n/a
h03	9.19	3.273	36.556	n/a
h09	31.862	3.177	36.478	n/a
h10	35.568	2.895	36.449	n/a
h11	39.148	2.595	36.449	n/a
h12	42.706	2.439	36.434	n/a
h14	49.733	2.67	36.445	n/a
h15	53.194	3.046	36.546	n/a
h16	56.66	3.436	36.621	n/a
