name	x	y	z	size
mp01	-0.296	-1.918	38.928	n/a
mp02	-4.183	-2.136	40.315	n/a
mp06	-19.466	-2.931	46.35	n/a
mp07	-23.445	-3.125	47.703	n/a
mp08	-27.536	-3.264	49.123	n/a
mp09	-31.689	-3.252	50.417	n/a
mp10	-35.863	-3.15	51.588	n/a
qp01	-31.147	8.897	1.603	n/a
qp02	-35.663	9.317	1.568	n/a
qp05	-48.865	10.781	2.165	n/a
qp06	-53.14	11.319	2.227	n/a
qp07	-57.338	11.794	2.366	n/a
rp01	-33.395	-9.157	11.642	n/a
rp02	-37.678	-9.132	12.119	n/a
rp07	-58.085	-8.485	17.779	n/a
rp08	-62.143	-8.409	18.949	n/a
rp09	-66.152	-8.449	19.94	n/a
sp01	-25.157	-26.337	16.961	n/a
sp02	-28.728	-25.918	19.448	n/a
sp03	-32.187	-25.686	21.986	n/a
sp04	-35.321	-25.529	24.837	n/a
sp05	-38.277	-25.373	27.964	n/a
sp08	-46.801	-24.658	37.64	n/a
sp09	-49.644	-24.34	40.646	n/a
xp01	-40.729	17.05	-17.724	n/a
xp02	-39.252	19.998	-15.429	n/a
xp03	-37.833	23.139	-13.382	n/a
xp05	-35.07	29.696	-9.757	n/a
xp06	-33.718	32.855	-7.922	n/a
xp13	-24.868	55.376	8.184	n/a
xp14	-23.518	58.748	10.492	n/a
xp15	-22.137	62.085	12.757	n/a
yp01	-31.985	-8.599	-8.696	n/a
yp02	-31.34	-11.904	-6.049	n/a
yp07	-28.043	-28.502	6.4	n/a
yp08	-27.417	-31.695	8.934	n/a
yp09	-26.785	-34.854	11.434	n/a
yp10	-25.971	-37.988	13.866	n/a
yp11	-24.916	-41.12	16.309	n/a
yp12	-23.671	-44.279	18.774	n/a
yp13	-22.432	-47.503	21.354	n/a
pp01	-3.408	-38.492	31.827	n/a
pp02	-7.983	-37.777	31.793	n/a
pp05	-20.64	-36.392	33.003	n/a
pp06	-24.817	-35.876	33.631	n/a
pp10	-40.805	-32.876	34.157	n/a
pp11	-44.638	-32.041	34.134	n/a
pp12	-48.48	-31.19	34.19	n/a
pp13	-52.354	-30.346	34.28	n/a
pp14	-56.293	-29.555	34.386	n/a
bp01	-20.518	-21.896	-27.964	n/a
bp02	-24.699	-21.667	-28.316	n/a
bp03	-28.822	-21.369	-28.656	n/a
bp04	-32.9	-21.134	-29.127	n/a
bp09	-53.448	-20.703	-29.609	n/a
bp10	-57.663	-20.675	-29.593	n/a
bp11	-61.874	-20.655	-29.772	n/a
up01	-34.432	-28.355	-7.093	n/a
up02	-37.997	-27.848	-5.658	n/a
up03	-41.588	-27.386	-4.052	n/a
up04	-45.297	-26.97	-2.209	n/a
up08	-60.799	-25.203	6.416	n/a
up09	-64.479	-24.81	8.294	n/a
up10	-68.299	-24.368	10.305	n/a
vp01	1.333	-47.397	23.86	n/a
vp02	-3.071	-47.094	23.91	n/a
vp07	-23.634	-46.196	23.719	n/a
vp08	-27.62	-45.7	23.647	n/a
vp09	-31.548	-45.235	23.507	n/a
vp10	-35.46	-44.837	23.435	n/a
vp11	-39.383	-44.547	23.482	n/a
vp12	-43.319	-44.4	23.639	n/a
vp16	-59.698	-42.959	24.547	n/a
vp17	-63.845	-42.376	24.779	n/a
tp01	-40.066	0.47	-28.325	n/a
tp02	-44.082	0.469	-26.715	n/a
tp04	-51.739	0.288	-23.049	n/a
tp05	-55.539	0.077	-21.199	n/a
tp06	-59.35	-0.146	-19.319	n/a
cp01	-22.749	-36.087	-18.129	n/a
cp02	-26.788	-35.859	-19.245	n/a
cp03	-30.842	-35.643	-20.418	n/a
cp08	-51.771	-35.093	-24.892	n/a
cp09	-55.931	-35.07	-25.77	n/a
cp10	-60.048	-35.08	-26.693	n/a
cp11	-64.127	-35.134	-27.68	n/a
cp12	-68.016	-35.133	-28.471	n/a
r01	37.082	-4.277	7.166	n/a
r02	40.717	-3.755	9.303	n/a
r04	47.355	-2.415	14.447	n/a
r05	50.766	-1.498	17.471	n/a
r06	54.14	-0.6	20.523	n/a
r07	57.426	0.195	23.434	n/a
r08	60.594	0.968	26.291	n/a
s01	35.81	-17.485	14.796	n/a
s02	38.312	-17.374	18.158	n/a
s05	44.984	-16.714	30.273	n/a
s06	47.183	-16.613	34.202	n/a
s09	53.937	-16.364	44.988	n/a
s10	56.023	-16.165	48.55	n/a
v01	5.998	-44.861	30.931	n/a
v02	10.134	-45.155	31.689	n/a
v05	21.517	-45.959	34.758	n/a
v06	25.175	-45.998	35.707	n/a
v08	32.636	-46.023	37.482	n/a
v09	36.409	-45.977	38.335	n/a
v12	47.994	-45.63	40.969	n/a
v13	51.944	-45.425	41.902	n/a
u01	26.353	-36.534	14.554	n/a
u02	30.143	-36.469	14.388	n/a
u05	41.377	-36.749	14.391	n/a
u06	45.264	-36.752	14.581	n/a
u07	49.304	-36.585	14.892	n/a
u08	53.438	-36.363	15.171	n/a
u11	66.107	-35.769	15.724	n/a
u12	70.457	-35.706	15.951	n/a
b01	29.993	-24.839	-29.621	n/a
b02	33.967	-24.023	-29.972	n/a
b03	37.952	-23.213	-30.296	n/a
b08	58.237	-19.626	-30.878	n/a
b09	62.405	-18.857	-31.007	n/a
b10	66.622	-18.017	-31.151	n/a
